Custom_Year_Name,"Custom_Year_Code","Country Name","Country Code","Hospital beds (per 1,000 people) [SH.MED.BEDS.ZS]","Physicians (per 1,000 people) [SH.MED.PHYS.ZS]","Smoking prevalence, total, ages 15+ [SH.PRV.SMOK]","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]","Out-of-pocket expenditure (% of current health expenditure) [SH.XPD.OOPC.CH.ZS]","People with basic handwashing facilities including soap and water (% of population) [SH.STA.HYGN.ZS]","Population ages 0-14 (% of total population) [SP.POP.0014.TO.ZS]","Population ages 15-64 (% of total population) [SP.POP.1564.TO.ZS]","Population ages 65 and above (% of total population) [SP.POP.65UP.TO.ZS]","Population, total [SP.POP.TOTL]","Rural population (% of total population) [SP.RUR.TOTL.ZS]","Diabetes prevalence (% of population ages 20 to 79) [SH.STA.DIAB.ZS]","Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD]","Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%) [SH.UHC.OOPC.25.ZS]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","Poverty headcount ratio at national poverty line (% of population) [SI.POV.NAHC]","Public spending on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]"
Most Recent Value,"(Most Recent Value)","Afghanistan","AFG","0.5(2015)","0.284(2016)","","0.2(2016)","77.40100618(2016)","37.7460320188898(2017)","43.0901755117794(2018)","54.3248975483403(2018)","2.58492693988024(2018)","37172386(2018)","74.505(2018)","9.2(2019)","57.24876048(2016)","2.01351195573807(2013)","550(2018)","43.01972(2018)","54.5(2016)","4.05887(2017)"
Most Recent Value,"(Most Recent Value)","Albania","ALB","2.9(2013)","1.1998(2016)","28.7(2016)","7.5(2016)","57.98090142(2016)","","17.672873724304(2018)","68.5823903647225(2018)","13.7447359109736(2018)","2866376(2018)","39.681(2018)","9(2019)","271.54304258(2016)","4.94539700448513(2012)","4860(2018)","98.14115(2018)","14.3(2012)","3.95464(2016)"
Most Recent Value,"(Most Recent Value)","Algeria","DZA","1.9(2015)","1.83(2016)","15.6(2016)","0.9(2016)","30.88327082(2016)","83.7406026903617(2017)","30.1486785862257(2018)","63.4888248687945(2018)","6.36249654497986(2018)","42228429(2018)","27.371(2018)","6.7(2019)","260.41257932(2016)","","3920(2017)","81.40784(2018)","5.5(2011)",""
Most Recent Value,"(Most Recent Value)","American Samoa","ASM","","","","","","","","","","55465(2018)","12.847(2018)","","","","","","",""
Most Recent Value,"(Most Recent Value)","Andorra","AND","","3.3333(2015)","33.5(2016)","11.3(2016)","41.69688586(2016)","","","","","77006(2018)","11.938(2018)","7.7(2019)","3834.73058142(2016)","","","","","3.19556(2017)"
Most Recent Value,"(Most Recent Value)","Angola","AGO","","0.2149(2017)","","6.4(2016)","35.20893022(2016)","26.6641825709428(2017)","46.8089247095412(2018)","50.9747016426956(2018)","2.21637364776329(2018)","30809762(2018)","34.486(2018)","4.5(2019)","95.22079857(2016)","","3370(2018)","66.03011(2014)","","3.42132(2010)"
Most Recent Value,"(Most Recent Value)","Antigua and Barbuda","ATG","3.8(2014)","2.7647(2017)","","7(2016)","32.18838038(2016)","","22.0810917475022(2018)","69.1190827326922(2018)","8.79982551980558(2018)","96286(2018)","75.401(2018)","13.1(2019)","623.11462593(2016)","","15890(2018)","98.95(2015)","",""
Most Recent Value,"(Most Recent Value)","Argentina","ARG","5(2014)","3.96(2017)","21.8(2016)","9.8(2016)","15.79818747(2016)","","24.7609338351238(2018)","64.1212772887989(2018)","11.1177888760774(2018)","44494502(2018)","8.13(2018)","5.9(2019)","955.2009489(2016)","","12390(2018)","99.00387(2018)","32(2018)","5.50825(2017)"
Most Recent Value,"(Most Recent Value)","Armenia","ARM","4.2(2015)","2.899(2014)","24.1(2016)","5.5(2016)","80.6469544(2016)","94.0429413735251(2017)","20.6334219249969(2018)","68.11276041799(2018)","11.2538176570131(2018)","2951776(2018)","36.851(2018)","6.1(2019)","358.84174796(2016)","4.87132109701634(2013)","4230(2018)","99.73607(2017)","23.5(2018)","2.70545(2017)"
Most Recent Value,"(Most Recent Value)","Aruba","ABW","","","","","","","17.8024469743493(2018)","68.6466058859653(2018)","13.5509471396854(2018)","105845(2018)","56.589(2018)","11.6(2019)","","","23630(2017)","97.80742(2018)","","6.1899(2016)"
Most Recent Value,"(Most Recent Value)","Australia","AUS","3.8(2014)","3.5874(2016)","14.7(2016)","10.6(2016)","18.9437128(2016)","","19.1906170385658(2018)","65.1529077338752(2018)","15.6564752275591(2018)","24992369(2018)","13.988(2018)","5.6(2019)","5002.35827732(2016)","0.500719994306564(2010)","53230(2018)","","","5.28031(2016)"
Most Recent Value,"(Most Recent Value)","Austria","AUT","7.6(2013)","5.1441(2016)","29.6(2016)","11.6(2016)","18.91973627(2016)","","14.2979476320233(2018)","66.7004859083869(2018)","19.0015664595899(2018)","8847037(2018)","41.703(2018)","6.6(2019)","4688.28020378(2016)","","49310(2018)","","","5.5007(2016)"
Most Recent Value,"(Most Recent Value)","Azerbaijan","AZE","4.7(2013)","3.4466(2014)","20.8(2016)","0.8(2016)","78.91878428(2016)","83.2413(2017)","23.3695698603865(2018)","70.4352473888986(2018)","6.19518275071493(2018)","9942334(2018)","44.32(2018)","6.1(2019)","268.15586521(2016)","","4050(2018)","99.79123(2017)","6(2012)","2.48097(2017)"
Most Recent Value,"(Most Recent Value)","Bahamas, The","BHS","2.9(2013)","1.9373(2017)","11.5(2016)","4.4(2016)","27.71587744(2016)","","22.4848756732367(2018)","70.2575219701429(2018)","7.25760235662035(2018)","385640(2018)","16.975(2018)","8.8(2019)","1835.22820219(2016)","0.191845453809947(2013)","30520(2018)","","",""
Most Recent Value,"(Most Recent Value)","Bahrain","BHR","2(2014)","0.9257(2015)","26.4(2016)","1.9(2016)","27.98785963(2016)","","19.2543101196218(2018)","78.3193560020542(2018)","2.42633387832394(2018)","1569439(2018)","10.713(2018)","15.6(2019)","1099.36229078(2016)","","21890(2018)","97.46419(2018)","","2.32721(2017)"
Most Recent Value,"(Most Recent Value)","Bangladesh","BGD","0.8(2015)","0.5268(2017)","23(2016)","0(2016)","71.88884163(2016)","34.8076036069316(2017)","27.706022482501(2018)","67.1355868778783(2018)","5.15839063962068(2018)","161356039(2018)","63.368(2018)","9.2(2019)","34.21796766(2016)","9.52952575683594(2016)","1750(2018)","73.9122(2018)","24.3(2016)","1.98602(2018)"
Most Recent Value,"(Most Recent Value)","Barbados","BRB","5.8(2014)","2.4886(2017)","7.8(2016)","9.6(2016)","45.17700374(2016)","88.4693506083686(2016)","17.342948147683(2018)","66.8543578901832(2018)","15.8026939621338(2018)","286641(2018)","68.853(2018)","13.4(2019)","1163.84456087(2016)","3.81942129135132(2016)","15410(2018)","99.6(2014)","","4.65652(2017)"
Most Recent Value,"(Most Recent Value)","Belarus","BLR","11(2013)","4.0772(2014)","26.7(2016)","11.2(2016)","35.79892788(2016)","","16.8659430504801(2018)","68.2889087752101(2018)","14.8451481743098(2018)","9485386(2018)","21.405(2018)","5(2019)","317.99419058(2016)","0.653729308396578(2016)","5670(2018)","99.75656(2018)","5.6(2018)","4.82003(2017)"
Most Recent Value,"(Most Recent Value)","Belgium","BEL","6.2(2014)","3.3234(2016)","28.2(2016)","12.1(2016)","15.85889032(2016)","","17.0554227603857(2018)","64.1558335012748(2018)","18.7887437383395(2018)","11422068(2018)","1.999(2018)","4.6(2019)","4149.38532224(2016)","1.39449881389737(2010)","45910(2018)","","","6.54428(2016)"
Most Recent Value,"(Most Recent Value)","Belize","BLZ","1.3(2014)","1.1262(2017)","","6.8(2016)","22.87068173(2016)","90.082766643261(2017)","30.2797653698662(2018)","64.9837758535624(2018)","4.73645877657144(2018)","383071(2018)","54.276(2018)","17.1(2019)","303.60483768(2016)","","4470(2018)","","","7.37876(2017)"
Most Recent Value,"(Most Recent Value)","Benin","BEN","0.5(2010)","0.1572(2016)","6.4(2016)","3(2016)","43.48323889(2016)","11.0349134296055(2017)","42.4476823945995(2018)","54.2987123079372(2018)","3.25360529746338(2018)","11485048(2018)","52.688(2018)","1(2019)","30.40151289(2016)","5.38009740412235(2011)","870(2018)","42.3624(2018)","40.1(2015)","3.99469(2016)"
Most Recent Value,"(Most Recent Value)","Bermuda","BMU","","","","","","","","","","63968(2018)","0(2018)","6.7(2019)","","","106140(2013)","","","1.50039(2017)"
Most Recent Value,"(Most Recent Value)","Bhutan","BTN","1.7(2012)","0.3715(2017)","","0.6(2016)","20.12969552(2016)","79.8070433891088(2014)","25.7713537330923(2018)","68.2256345541021(2018)","6.00301171280561(2018)","754394(2018)","59.105(2018)","10.3(2019)","91.33533448(2016)","0.411514669656753(2017)","3080(2018)","66.56115(2017)","8.2(2017)","6.64043(2018)"
Most Recent Value,"(Most Recent Value)","Bolivia","BOL","1.1(2014)","1.6111(2016)","","4.8(2016)","28.02112047(2016)","25.3828990744977(2017)","31.0735477456373(2018)","61.7345048621782(2018)","7.19194739218447(2018)","11353142(2018)","30.575(2018)","6.8(2019)","213.01732534(2016)","1.08576714992523(2015)","3370(2018)","92.45508(2015)","34.6(2018)","7.28535(2014)"
Most Recent Value,"(Most Recent Value)","Bosnia and Herzegovina","BIH","3.5(2013)","2.0003(2013)","38.9(2016)","6.4(2016)","28.68117751(2016)","97.1638030400127(2016)","14.7662176493152(2018)","68.7634648796227(2018)","16.4703174710621(2018)","3323929(2018)","51.755(2018)","9(2019)","443.78378047(2016)","1.38621237128973(2015)","5740(2018)","96.99177(2013)","16.9(2015)",""
Most Recent Value,"(Most Recent Value)","Botswana","BWA","1.8(2010)","0.3688(2016)","20(2016)","8.4(2016)","5.24849231(2016)","","34.1129460158256(2018)","61.6631796378814(2018)","4.22387434629301(2018)","2254126(2018)","30.554(2018)","5.8(2019)","379.9230078(2016)","","7750(2018)","87.7(2014)","",""
Most Recent Value,"(Most Recent Value)","Brazil","BRA","2.2(2014)","2.1499(2018)","13.9(2016)","7.8(2016)","43.56023599(2016)","","21.3340719108545(2018)","69.7430902567055(2018)","8.92283783244003(2018)","209469333(2018)","13.431(2018)","10.4(2019)","1015.93444765(2016)","","9140(2018)","93.2275(2018)","","6.24106(2015)"
Most Recent Value,"(Most Recent Value)","British Virgin Islands","VGB","","","","","","","","","","29802(2018)","52.277(2018)","14.2(2019)","","","","","","3.23202(2017)"
Most Recent Value,"(Most Recent Value)","Brunei Darussalam","BRN","2.7(2015)","1.7701(2015)","16.9(2016)","0.4(2016)","5.07159269(2016)","","23.0264614896856(2018)","72.1003909428086(2018)","4.87314756750582(2018)","428962(2018)","22.371(2018)","13.3(2019)","630.6293586(2016)","","29660(2018)","97.21411(2018)","","4.42541(2016)"
Most Recent Value,"(Most Recent Value)","Bulgaria","BGR","6.8(2013)","3.9879(2014)","37(2016)","12.7(2016)","47.95404673(2016)","","14.5954653179814(2018)","64.3826202477506(2018)","21.021914434268(2018)","7024216(2018)","24.992(2018)","6(2019)","612.47858555(2016)","0.757654244080186(2010)","8860(2018)","98.35245(2011)","22(2017)","4.07685(2013)"
Most Recent Value,"(Most Recent Value)","Burkina Faso","BFA","0.4(2010)","0.06(2016)","12.5(2016)","8.2(2016)","31.39360194(2016)","11.877389332001(2017)","44.9480813221662(2018)","52.6449378491703(2018)","2.40698082866355(2018)","19751535(2018)","70.642(2018)","7.3(2019)","40.94095568(2016)","0.417354563251138(2014)","670(2018)","41.22445(2018)","40.1(2014)","4.16607(2015)"
Most Recent Value,"(Most Recent Value)","Burundi","BDI","0.8(2014)","0.05(2016)","","7.5(2016)","30.51368128(2016)","6.14409936808611(2017)","45.5016807491186(2018)","52.2513787905443(2018)","2.24694046033717(2018)","11175378(2018)","86.968(2018)","5.1(2019)","18.46188216(2016)","0.432863552123308(2013)","280(2018)","68.37533(2017)","64.9(2013)","4.76183(2017)"
Most Recent Value,"(Most Recent Value)","Cabo Verde","CPV","2.1(2010)","0.7694(2015)","9.1(2016)","5.7(2016)","26.01418236(2016)","","28.7777669479759(2018)","66.6129058953559(2018)","4.60932715666821(2018)","543767(2018)","34.268(2018)","2.4(2019)","159.07351003(2016)","","3420(2018)","86.79029(2015)","35(2015)","5.17322(2017)"
Most Recent Value,"(Most Recent Value)","Cambodia","KHM","0.8(2015)","0.1682(2014)","17.2(2016)","6.7(2016)","58.56040154(2016)","66.2286220956706(2017)","31.2014147627244(2018)","64.2299052197099(2018)","4.56868001756576(2018)","16249798(2018)","76.612(2018)","6.4(2019)","77.67368199(2016)","5.23964643478394(2014)","1390(2018)","80.52649(2015)","17.7(2012)","1.90939(2014)"
Most Recent Value,"(Most Recent Value)","Cameroon","CMR","1.3(2010)","0.0898(2011)","","8.9(2016)","69.50262192(2016)","9.40206643360047(2017)","42.6315798448676(2018)","54.6395427998918(2018)","2.72887735524057(2018)","25216237(2018)","43.626(2018)","6(2019)","64.46729416(2016)","2.98182647675276(2014)","1440(2018)","77.07104(2018)","37.5(2014)","3.06699(2017)"
Most Recent Value,"(Most Recent Value)","Canada","CAN","2.7(2012)","2.6102(2017)","14.3(2016)","8.9(2016)","14.61734086(2016)","","15.8702508744405(2018)","66.8977424466943(2018)","17.2320066788651(2018)","37058856(2018)","18.589(2018)","7.6(2019)","4458.21499934(2016)","0.513349985703826(2010)","44940(2018)","","","5.27444(2011)"
Most Recent Value,"(Most Recent Value)","Cayman Islands","CYM","","","","","","","","","","64174(2018)","0(2018)","6.8(2019)","","","47140(2017)","","",""
Most Recent Value,"(Most Recent Value)","Central African Republic","CAF","1(2011)","0.0629(2015)","","3.3(2016)","43.07941935(2016)","16.6029710781771(2014)","44.294320550801(2018)","52.879905742539(2018)","2.82577370666008(2018)","4666377(2018)","58.636(2018)","6(2019)","16.36043526(2016)","","490(2018)","37.39582(2018)","","1.22862(2011)"
Most Recent Value,"(Most Recent Value)","Chad","TCD","","0.0475(2016)","","1.6(2016)","61.15595337(2016)","5.81809377998824(2017)","47.126299988842(2018)","50.393181066809(2018)","2.48051894434901(2018)","15477751(2018)","76.941(2018)","6(2019)","31.68594246(2016)","","670(2018)","22.31155(2016)","46.7(2011)","2.85071(2013)"
Most Recent Value,"(Most Recent Value)","Channel Islands","CHI","","","","","","","15.1883588760051(2018)","67.5141789687916(2018)","17.2974621552033(2018)","170499(2018)","69.086(2018)","3.9(2019)","","","","","",""
Most Recent Value,"(Most Recent Value)","Chile","CHL","2.2(2013)","1.08(2016)","37.8(2016)","9.3(2016)","34.76995383(2016)","","19.7539024707995(2018)","68.7162958723189(2018)","11.5298016568816(2018)","18729160(2018)","12.436(2018)","8.6(2019)","1190.54854502(2016)","2.07719326019287(2016)","14670(2018)","96.40228(2017)","8.6(2017)","5.41582(2017)"
Most Recent Value,"(Most Recent Value)","China","CHN","4.2(2012)","1.7855(2015)","25.6(2016)","7.2(2016)","35.90618522(2016)","","17.8770027525543(2018)","71.2021137123803(2018)","10.9208835350654(2018)","1392730000(2018)","40.848(2018)","9.2(2019)","398.33155573(2016)","5.39808012545109(2013)","9460(2018)","96.84089(2018)","1.7(2018)",""
Most Recent Value,"(Most Recent Value)","Colombia","COL","1.5(2014)","2.0835(2017)","9(2016)","5.8(2016)","20.15695634(2016)","65.3857581074716(2017)","23.077895979964(2018)","68.4440570001664(2018)","8.47804701986958(2018)","49648685(2018)","19.222(2018)","7.4(2019)","340.36546879(2016)","2.22923827171326(2016)","6180(2018)","95.09251(2018)","27(2018)","4.49839(2017)"
Most Recent Value,"(Most Recent Value)","Comoros","COM","2.2(2010)","0.1699(2012)","14(2016)","0.9(2016)","73.1343926(2016)","15.5735337189284(2016)","39.5384238311615(2018)","57.4545668623441(2018)","3.00700930649436(2018)","832322(2018)","71.035(2018)","12.3(2019)","59.00043787(2016)","1.64124090224504(2014)","1380(2018)","58.81702(2018)","42.4(2013)","2.48708(2015)"
Most Recent Value,"(Most Recent Value)","Congo, Dem. Rep.","COD","","0.09(2013)","","2.6(2016)","37.434302(2016)","4.47159745510342(2017)","46.1656420864844(2018)","50.8165172919176(2018)","3.01784062159803(2018)","84068091(2018)","55.54(2018)","6(2019)","20.5175231(2016)","0.610391702502966(2012)","490(2018)","77.04268(2016)","63.9(2012)","1.46951(2017)"
Most Recent Value,"(Most Recent Value)","Congo, Rep.","COG","","0.1159(2011)","26.9(2016)","7.8(2016)","49.71562378(2016)","47.9636724613661(2017)","41.7635024604532(2018)","55.5547780005145(2018)","2.68171953903232(2018)","5244363(2018)","33.084(2018)","6(2019)","70.37796786(2016)","0.659376755356789(2011)","1640(2018)","80.29876(2018)","40.9(2011)","4.56147(2015)"
Most Recent Value,"(Most Recent Value)","Costa Rica","CRI","1.2(2015)","1.1497(2013)","11.9(2016)","4.8(2016)","22.14419226(2016)","83.8410428210698(2015)","21.3247441063911(2018)","69.1254082206391(2018)","9.54984767296984(2018)","4999441(2018)","20.66(2018)","9.1(2019)","888.85370049(2016)","1.69605112075806(2012)","11520(2018)","97.86379(2018)","21(2019)","7.4026(2017)"
Most Recent Value,"(Most Recent Value)","Cote d'Ivoire","CIV","","0.2326(2014)","","8.4(2016)","40.14711143(2016)","19.3507969404948(2017)","41.9369721367589(2018)","55.2040848482383(2018)","2.85894301500285(2018)","25069229(2018)","49.221(2018)","2.4(2019)","67.57069603(2016)","3.3708963394165(2015)","1600(2018)","47.16535(2018)","46.3(2015)","5.14353(2017)"
Most Recent Value,"(Most Recent Value)","Croatia","HRV","5.6(2015)","2.9962(2016)","37(2016)","8.9(2016)","15.36177386(2016)","","14.5119400058464(2018)","65.0426269817306(2018)","20.445433012423(2018)","4089400(2018)","43.053(2018)","5.4(2019)","884.49111374(2016)","0.256807776167989(2010)","14000(2018)","99.12536(2011)","19.4(2017)","4.55695(2013)"
Most Recent Value,"(Most Recent Value)","Cuba","CUB","5.2(2014)","8.19(2017)","35.2(2016)","6.1(2016)","10.307818(2016)","85.1982075208693(2017)","16.2112389922363(2018)","68.6025495906116(2018)","15.1862114171521(2018)","11338138(2018)","22.963(2018)","9.6(2019)","970.64616387(2016)","","7480(2016)","99.75253(2012)","","12.83731(2010)"
Most Recent Value,"(Most Recent Value)","Curacao","CUW","","","","","","","18.8839461266221(2018)","64.4311590640975(2018)","16.6848948092804(2018)","159849(2018)","10.855(2018)","11.6(2019)","","","19070(2017)","","","4.93095(2013)"
Most Recent Value,"(Most Recent Value)","Cyprus","CYP","3.4(2013)","1.9511(2016)","36.4(2016)","10.8(2016)","44.92326153(2016)","","16.787847956511(2018)","69.4930902700408(2018)","13.7190617734483(2018)","1189265(2018)","33.19(2018)","9(2019)","1634.43092199(2016)","1.50180384516716(2010)","26300(2018)","98.67843(2011)","","6.3753(2015)"
Most Recent Value,"(Most Recent Value)","Czech Republic","CZE","6.5(2015)","4.314(2016)","34.3(2016)","14.4(2016)","15.02381241(2016)","","15.5866055197434(2018)","64.9925175870224(2018)","19.4208768932343(2018)","10625695(2018)","26.208(2018)","7(2019)","1321.62020252(2016)","0.05268634413369(2010)","20240(2018)","","9.7(2013)","5.58738(2016)"
Most Recent Value,"(Most Recent Value)","Denmark","DNK","2.5(2015)","4.4567(2016)","19.1(2016)","10.4(2016)","13.71236935(2016)","","16.4582625623987(2018)","63.7287848006111(2018)","19.8129526369902(2018)","5797446(2018)","12.126(2018)","8.3(2019)","5565.59342469(2016)","0.49398192204535(2010)","60140(2018)","","","7.63485(2014)"
Most Recent Value,"(Most Recent Value)","Djibouti","DJI","1.4(2014)","0.2203(2014)","13.1(2016)","0.5(2016)","25.76631675(2016)","","29.5741159613441(2018)","65.898304660541(2018)","4.52757937811482(2018)","958920(2018)","22.223(2018)","5.1(2019)","70.19033417(2016)","","3190(2018)","","21.1(2017)","4.49022(2010)"
Most Recent Value,"(Most Recent Value)","Dominica","DMA","3.8(2012)","1.0825(2017)","","8.2(2016)","29.14772862(2016)","","","","","71625(2018)","29.517(2018)","11.6(2019)","419.36591407(2016)","","7090(2018)","","","3.38688(2015)"
Most Recent Value,"(Most Recent Value)","Dominican Republic","DOM","1.6(2014)","1.56(2017)","13.7(2016)","6.9(2016)","44.61633846(2016)","55.1819809572288(2017)","27.9771295026574(2018)","64.9400530208454(2018)","7.08281747649721(2018)","10627165(2018)","18.926(2018)","8.6(2019)","414.17657995(2016)","","7760(2018)","93.77846(2016)","22.8(2018)",""
Most Recent Value,"(Most Recent Value)","Ecuador","ECU","1.5(2013)","2.05(2016)","7.1(2016)","4.4(2016)","40.48171185(2016)","80.6347784463545(2017)","28.0285920021109(2018)","64.814118271228(2018)","7.15728972666108(2018)","17084357(2018)","36.179(2018)","5.5(2019)","504.78248204(2016)","2.44082026183605(2013)","6110(2018)","92.82979(2017)","25(2019)","4.9987(2015)"
Most Recent Value,"(Most Recent Value)","Egypt, Arab Rep.","EGY","1.6(2014)","0.7902(2017)","25.2(2016)","0.4(2016)","61.98998068(2016)","89.8269694459489(2017)","33.7987207092348(2018)","60.971499944556(2018)","5.22977934620923(2018)","98423595(2018)","57.296(2018)","17.2(2019)","130.9858695(2016)","3.89644205570221(2012)","2800(2018)","71.16825(2017)","32.5(2017)",""
Most Recent Value,"(Most Recent Value)","El Salvador","SLV","1.3(2014)","1.569(2016)","9.9(2016)","3.8(2016)","27.16086599(2016)","90.6496848510482(2017)","27.1320809139623(2018)","64.5808290812314(2018)","8.28709000480629(2018)","6420744(2018)","27.977(2018)","8.8(2019)","293.87255671(2016)","0.3044014563784(2014)","3820(2018)","88.48271(2017)","29.2(2017)","3.75133(2017)"
Most Recent Value,"(Most Recent Value)","Equatorial Guinea","GNQ","2.1(2010)","0.4(2017)","","11.3(2016)","72.83432742(2016)","24.6399682062548(2015)","37.1165988655245(2018)","60.4255237876965(2018)","2.45787734677897(2018)","1308974(2018)","27.857(2018)","6(2019)","281.37453092(2016)","","6840(2018)","95(2014)","",""
Most Recent Value,"(Most Recent Value)","Eritrea","ERI","0.7(2011)","","5.7(2016)","1.3(2016)","59.058986(2016)","","40.1807794218494(2011)","55.7353642159919(2011)","4.08385636215873(2011)","3213972(2011)","64.229(2011)","5.1(2019)","29.8912246(2016)","","720(2011)","76.57052(2018)","",""
Most Recent Value,"(Most Recent Value)","Estonia","EST","5(2015)","3.4651(2016)","31.3(2016)","11.6(2016)","22.68592618(2016)","","16.3570737459559(2018)","64.0165694070692(2018)","19.6263568469749(2018)","1320884(2018)","31.12(2018)","4.2(2019)","1185.33334806(2016)","","21140(2018)","99.88579(2011)","21.8(2013)","5.17316(2016)"
Most Recent Value,"(Most Recent Value)","Eswatini","SWZ","2.1(2011)","0.0796(2016)","9(2016)","9.9(2016)","9.89895648(2016)","24.0969633445971(2017)","38.1124915403848(2018)","57.8729205187801(2018)","4.01458794083506(2018)","1136191(2018)","76.201(2018)","4.5(2019)","220.58673255(2016)","","3930(2018)","88.41938(2018)","58.9(2017)","7.12767(2014)"
