Custom_Year_Name,"Custom_Year_Code","Country Name","Country Code","Hospital beds (per 1,000 people) [SH.MED.BEDS.ZS]","Physicians (per 1,000 people) [SH.MED.PHYS.ZS]","Smoking prevalence, total, ages 15+ [SH.PRV.SMOK]","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]","Out-of-pocket expenditure (% of current health expenditure) [SH.XPD.OOPC.CH.ZS]","People with basic handwashing facilities including soap and water (% of population) [SH.STA.HYGN.ZS]","Population ages 0-14 (% of total population) [SP.POP.0014.TO.ZS]","Population ages 15-64 (% of total population) [SP.POP.1564.TO.ZS]","Population ages 65 and above (% of total population) [SP.POP.65UP.TO.ZS]","Population, total [SP.POP.TOTL]","Rural population (% of total population) [SP.RUR.TOTL.ZS]","Diabetes prevalence (% of population ages 20 to 79) [SH.STA.DIAB.ZS]","Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD]","Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%) [SH.UHC.OOPC.25.ZS]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","Poverty headcount ratio at national poverty line (% of population) [SI.POV.NAHC]","Public spending on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]"
Most Recent Value,"(Most Recent Value)","Ethiopia","ETH","0.3(2015)","0.1(2017)","4.4(2016)","2.9(2016)","37.42413218(2016)","7.96038974707188(2017)","40.7829819073234(2018)","55.7158850950668(2018)","3.50113299760986(2018)","109224559(2018)","79.237(2018)","4.3(2019)","27.52365701(2016)","1.43495574593544(2015)","790(2018)","51.77118(2017)","23.5(2015)","4.73792(2015)"
Most Recent Value,"(Most Recent Value)","Faroe Islands","FRO","","","","","","","","","","48497(2018)","57.936(2018)","4.7(2019)","","","","","",""
Most Recent Value,"(Most Recent Value)","Fiji","FJI","2.3(2011)","0.8374(2015)","22.6(2016)","3(2016)","20.63828514(2016)","","29.5126222009931(2018)","65.0376973863674(2018)","5.44968041263952(2018)","883483(2018)","43.752(2018)","14.7(2019)","179.91156997(2016)","","5860(2018)","99.08211(2017)","34(2013)","3.88289(2013)"
Most Recent Value,"(Most Recent Value)","Finland","FIN","4.4(2015)","3.808(2016)","20.4(2016)","10.7(2016)","20.35397037(2016)","","16.1451829725838(2018)","62.134029481894(2018)","21.7207875455222(2018)","5518050(2018)","14.618(2018)","5.6(2019)","4117.25778244(2016)","0.973046850413084(2010)","48280(2018)","","","6.89735(2016)"
Most Recent Value,"(Most Recent Value)","France","FRA","6.5(2013)","3.2349(2016)","32.7(2016)","12.6(2016)","9.75624371(2016)","","17.9564644444787(2018)","62.0089108085333(2018)","20.0346247469881(2018)","66987244(2018)","19.556(2018)","4.8(2019)","4263.36156106(2016)","0.22499228361994(2010)","41080(2018)","","","5.43259(2016)"
Most Recent Value,"(Most Recent Value)","French Polynesia","PYF","","","","","","","22.7618941295525(2018)","68.9475977657655(2018)","8.29050810468202(2018)","277679(2018)","38.166(2018)","19.5(2019)","","","","","",""
Most Recent Value,"(Most Recent Value)","Gabon","GAB","6.3(2010)","0.3611(2016)","","11.5(2016)","22.51306679(2016)","","37.0258696960045(2018)","59.4102228356395(2018)","3.56390746835592(2018)","2119275(2018)","10.63(2018)","6(2019)","220.3547089(2016)","","6830(2018)","84.66716(2018)","33.4(2017)","2.66667(2014)"
Most Recent Value,"(Most Recent Value)","Gambia, The","GMB","1.1(2011)","0.1077(2015)","15.5(2016)","3.8(2016)","23.59053007(2016)","7.87626629083994(2017)","44.2687450605107(2018)","53.141274000107(2018)","2.58998093938232(2018)","2280102(2018)","38.73(2018)","1.9(2019)","20.93043715(2016)","0.0282854773104191(2015)","710(2018)","50.77797(2015)","48.6(2015)","2.05946(2016)"
Most Recent Value,"(Most Recent Value)","Georgia","GEO","2.6(2013)","5.0976(2015)","28.8(2016)","9.8(2016)","55.5964618(2016)","","19.7952406005383(2018)","65.3392679684092(2018)","14.8654914310525(2018)","3731000(2018)","41.368(2018)","5.8(2019)","308.03165121(2016)","8.97715836763382(2013)","4440(2018)","99.36426(2017)","20.1(2018)","3.84973(2017)"
Most Recent Value,"(Most Recent Value)","Germany","DEU","8.3(2013)","4.2087(2016)","30.6(2016)","13.4(2016)","12.4095928(2016)","","13.6210301045356(2018)","64.9170079001335(2018)","21.4619619953309(2018)","82927922(2018)","22.688(2018)","10.4(2019)","4714.2608733(2016)","0.107916921842843(2010)","47090(2018)","","","4.80093(2016)"
Most Recent Value,"(Most Recent Value)","Ghana","GHA","0.9(2011)","0.18(2017)","3.9(2016)","2.7(2016)","37.82372777(2016)","41.0473083819571(2017)","37.5960615850344(2018)","59.3350404080317(2018)","3.06889800693396(2018)","29767108(2018)","43.94(2018)","2.5(2019)","67.50885898(2016)","0.0851445947773755(2012)","2130(2018)","79.03964(2018)","23.4(2016)","3.61798(2017)"
Most Recent Value,"(Most Recent Value)","Gibraltar","GIB","","","","","","","","","","33718(2018)","0(2018)","","","","","","",""
Most Recent Value,"(Most Recent Value)","Greece","GRC","4.3(2015)","4.592(2016)","43.4(2016)","10.4(2016)","34.34369614(2016)","","14.0712448654023(2018)","64.2734830567542(2018)","21.6552720778435(2018)","10727668(2018)","20.942(2018)","4.7(2019)","1510.66671302(2016)","1.61979162693024(2016)","19770(2018)","97.36874(2011)","",""
Most Recent Value,"(Most Recent Value)","Greenland","GRL","","","","","","","","","","56025(2018)","13.184(2018)","2.1(2019)","","","","","",""
Most Recent Value,"(Most Recent Value)","Grenada","GRD","3.7(2014)","1.4471(2017)","","9.3(2016)","57.77659011(2016)","","23.5612898594936(2018)","66.8168033448777(2018)","9.62190679562869(2018)","111454(2018)","63.728(2018)","10.7(2019)","516.41704659(2016)","","9650(2018)","98.6(2014)","","3.17043(2017)"
Most Recent Value,"(Most Recent Value)","Guam","GUM","","","","","","","24.4637083152357(2018)","65.6863809661696(2018)","9.84991071859466(2018)","165768(2018)","5.22(2018)","18.7(2019)","","","","","",""
Most Recent Value,"(Most Recent Value)","Guatemala","GTM","0.6(2014)","0.355(2018)","","2.5(2016)","53.33825148(2016)","76.6655036207724(2017)","34.4353953933618(2018)","60.7525320983504(2018)","4.81207250828785(2018)","17247807(2018)","48.946(2018)","10(2019)","241.35228463(2016)","0.0410198961617425(2014)","4400(2018)","81.2859(2014)","59.3(2014)","2.79538(2017)"
Most Recent Value,"(Most Recent Value)","Guinea","GIN","0.3(2011)","0.0788(2016)","","1.3(2016)","49.7618131(2016)","17.4497171149057(2017)","43.8501733445473(2018)","53.2238042069734(2018)","2.92602244847935(2018)","12414318(2018)","63.86(2018)","2.4(2019)","37.45933893(2016)","1.25234071165323(2012)","850(2018)","32.00384(2014)","55.2(2012)","2.21697(2017)"
Most Recent Value,"(Most Recent Value)","Guinea-Bissau","GNB","","0.2(2015)","","4.8(2016)","35.40050221(2016)","6.40293708859611(2017)","42.3391522075139(2018)","54.8371314563334(2018)","2.82371633615269(2018)","1874309(2018)","56.64(2018)","2.4(2019)","39.05417469(2016)","","750(2018)","45.58116(2014)","69.3(2010)","2.13249(2013)"
Most Recent Value,"(Most Recent Value)","Guyana","GUY","1.6(2014)","0.799(2018)","","6.3(2016)","35.05651752(2016)","77.1594149222442(2017)","28.214545202476(2018)","65.335183554427(2018)","6.45027124309697(2018)","779004(2018)","73.394(2018)","11.6(2019)","192.27367614(2016)","","4770(2018)","85.63973(2014)","","6.34497(2017)"
Most Recent Value,"(Most Recent Value)","Haiti","HTI","0.7(2013)","0.2345(2018)","12.7(2016)","5.8(2016)","41.73194864(2016)","22.8627462636951(2017)","33.242244257891(2018)","61.8083518936764(2018)","4.94940384843253(2018)","11123176(2018)","44.722(2018)","6.7(2019)","37.7231276(2016)","3.98440547287464(2013)","800(2018)","61.69135(2016)","58.5(2012)","2.44959(2016)"
Most Recent Value,"(Most Recent Value)","Honduras","HND","0.7(2014)","0.3144(2017)","2(2016)","4(2016)","45.01063621(2016)","84.1692526093255(2016)","31.7408815333097(2018)","63.5685008076122(2018)","4.69061765907812(2018)","9587522(2018)","42.904(2018)","7.3(2019)","199.55451507(2016)","","2350(2018)","87.20524(2018)","48.3(2018)","5.95605(2017)"
Most Recent Value,"(Most Recent Value)","Hong Kong SAR, China","HKG","","","","","","","11.9008970757204(2018)","71.2240545977674(2018)","16.8750483265122(2018)","7451000(2018)","0(2018)","4.5(2019)","","","50300(2018)","","","3.32452(2018)"
Most Recent Value,"(Most Recent Value)","Hungary","HUN","7(2013)","3.2312(2016)","30.6(2016)","11.4(2016)","29.6990259(2016)","","14.4119922134424(2018)","66.4302824033255(2018)","19.1577253832321(2018)","9768785(2018)","28.649(2018)","6.9(2019)","942.59196302(2016)","0.309622148051858(2010)","14780(2018)","99.1(2014)","14.9(2014)","4.71078(2016)"
Most Recent Value,"(Most Recent Value)","Iceland","ISL","3.2(2014)","3.9701(2017)","14.7(2016)","9.1(2016)","16.86918382(2016)","","19.8323201064408(2018)","65.3725873369903(2018)","14.7950925565689(2018)","353574(2018)","6.187(2018)","5.8(2019)","5063.60583151(2016)","","67960(2018)","","","7.45988(2016)"
Most Recent Value,"(Most Recent Value)","India","IND","0.7(2011)","0.7776(2017)","11.5(2016)","5.7(2016)","64.57785669(2016)","59.5496875182515(2017)","27.0533018530221(2018)","66.7667424975064(2018)","6.17995564947149(2018)","1352617328(2018)","65.97(2018)","10.4(2019)","62.71555407(2016)","3.89889813959599(2011)","2020(2018)","74.37299(2018)","21.9(2011)","3.84467(2013)"
Most Recent Value,"(Most Recent Value)","Indonesia","IDN","1.2(2015)","0.3777(2017)","39.4(2016)","0.8(2016)","37.33550598(2016)","64.2036185754851(2017)","26.5511973052634(2018)","67.5916370820079(2018)","5.85716561272863(2018)","267663435(2018)","44.675(2018)","6.3(2019)","111.55321931(2016)","0.513585567474365(2018)","3840(2018)","95.65856(2018)","9.8(2018)","3.5836(2015)"
Most Recent Value,"(Most Recent Value)","Iran, Islamic Rep.","IRN","1.5(2014)","1.14(2015)","11(2016)","1(2016)","38.79371681(2016)","","24.4765586602319(2018)","69.3388675341431(2018)","6.18457380562499(2018)","81800269(2018)","25.102(2018)","9.6(2019)","415.39119979(2016)","3.76133732497692(2013)","5470(2017)","85.54425(2016)","","3.95536(2018)"
Most Recent Value,"(Most Recent Value)","Iraq","IRQ","1.4(2014)","0.8217(2017)","","0.4(2016)","78.48120423(2016)","94.5759477772468(2017)","38.3865654011074(2018)","58.2898349360976(2018)","3.32359966279505(2018)","38433600(2018)","29.527(2018)","8.8(2019)","152.64254835(2016)","0.425606220960617(2012)","5040(2018)","50.14052(2018)","18.9(2012)",""
Most Recent Value,"(Most Recent Value)","Ireland","IRL","2.8(2013)","3.0861(2017)","24.3(2016)","13(2016)","12.99058994(2016)","","21.4064195870662(2018)","64.7277787116415(2018)","13.8658017012923(2018)","4853506(2018)","36.83(2018)","3.2(2019)","4758.59431522(2016)","0.6890834774822(2010)","61390(2018)","","","3.69856(2016)"
Most Recent Value,"(Most Recent Value)","Isle of Man","IMN","","1.449(2010)","","","","","","","","84077(2018)","47.412(2018)","","","","75340(2017)","","",""
Most Recent Value,"(Most Recent Value)","Israel","ISR","3.1(2013)","3.2176(2016)","25.2(2016)","3.8(2016)","22.972216(2016)","","27.9252464589938(2018)","60.0977675160436(2018)","11.9769860249625(2018)","8883800(2018)","7.58199999999999(2018)","9.7(2019)","2837.13963899(2016)","0.946839991956949(2012)","40920(2018)","","","5.8493(2016)"
Most Recent Value,"(Most Recent Value)","Italy","ITA","3.4(2012)","4.0931(2017)","23.7(2016)","7.5(2016)","23.10570502(2016)","","13.3291160906398(2018)","63.9192043068525(2018)","22.7516796025077(2018)","60431283(2018)","29.562(2018)","5(2019)","2738.70612439(2016)","1.08317546546459(2010)","33730(2018)","99.15576(2018)","","3.82943(2016)"
Most Recent Value,"(Most Recent Value)","Jamaica","JAM","1.7(2013)","1.3199(2017)","16.8(2016)","4.2(2016)","22.39644718(2016)","66.4245165522861(2015)","23.7500966830639(2018)","67.4532607662342(2018)","8.79664255070196(2018)","2934855(2018)","44.326(2018)","11.3(2019)","296.24614827(2016)","","4970(2018)","88.1(2014)","19.9(2012)","5.40731(2018)"
Most Recent Value,"(Most Recent Value)","Japan","JPN","13.4(2012)","2.4118(2016)","22.1(2016)","8(2016)","13.45210907(2016)","","12.6968488090205(2018)","59.7267812806245(2018)","27.576369910355(2018)","126529100(2018)","8.384(2018)","5.6(2019)","4233.0332764(2016)","0.611118413507938(2015)","41310(2018)","","","3.59059(2014)"
Most Recent Value,"(Most Recent Value)","Jordan","JOR","1.4(2015)","2.3436(2017)","","0.7(2016)","27.98257749(2016)","","34.2454902091433(2018)","61.9080193928583(2018)","3.84649039799834(2018)","9956011(2018)","9.021(2018)","12.7(2019)","223.53819879(2016)","","4200(2018)","98.22711(2018)","14.4(2010)","3.59959(2017)"
Most Recent Value,"(Most Recent Value)","Kazakhstan","KAZ","6.7(2013)","3.2522(2014)","24(2016)","7.7(2016)","35.56086753(2016)","98.9993740478602(2017)","28.4605497778393(2018)","64.1476039511304(2018)","7.39184627103032(2018)","18276499(2018)","42.572(2018)","6.1(2019)","262.0090142(2016)","0.130062305834144(2015)","8070(2018)","99.78163(2010)","2.5(2017)","2.817(2017)"
Most Recent Value,"(Most Recent Value)","Kenya","KEN","1.4(2010)","0.1988(2014)","10.7(2016)","3.4(2016)","27.71331783(2016)","24.6510436992189(2017)","39.7821669340692(2018)","57.8786464540153(2018)","2.33918661191556(2018)","51393010(2018)","72.97(2018)","3.1(2019)","66.20980967(2016)","1.48078436031938(2015)","1620(2018)","81.53497(2018)","36.1(2015)","5.23898(2017)"
Most Recent Value,"(Most Recent Value)","Kiribati","KIR","1.9(2015)","0.2028(2013)","47(2016)","0.4(2016)","0.09287203(2016)","","35.5399794556613(2018)","60.5073933722928(2018)","3.95262717204589(2018)","115847(2018)","45.943(2018)","22.5(2019)","188.04908791(2016)","","3140(2018)","","",""
Most Recent Value,"(Most Recent Value)","Korea, Dem. People’s Rep.","PRK","13.2(2012)","3.6745(2017)","","3.9(2016)","","","20.2021135043815(2018)","70.4633660858305(2018)","9.33452040978796(2018)","25549819(2018)","38.101(2018)","6.4(2019)","","","","","",""
Most Recent Value,"(Most Recent Value)","Korea, Rep.","KOR","11.5(2015)","2.3661(2017)","23.3(2016)","10.2(2016)","33.31032766(2016)","","12.9733235784635(2018)","72.6081205891396(2018)","14.4185558323969(2018)","51635256(2018)","18.541(2018)","6.9(2019)","2043.86063994(2016)","3.852186(2015)","30600(2018)","","",""
Most Recent Value,"(Most Recent Value)","Kosovo","XKX","","","","","","","","","","1845300(2018)","","","","1.03475805372(2016)","4220(2018)","","17.6(2015)",""
Most Recent Value,"(Most Recent Value)","Kuwait","KWT","2(2014)","2.5789(2015)","22.5(2016)","0(2016)","16.11129307(2016)","","21.5388880509858(2018)","75.9106395650123(2018)","2.55047238400198(2018)","4137309(2018)","0(2018)","12.2(2019)","1068.32321339(2016)","","34290(2018)","96.05647(2018)","",""
Most Recent Value,"(Most Recent Value)","Kyrgyz Republic","KGZ","4.5(2013)","1.876(2014)","26.5(2016)","6.2(2016)","57.58837624(2016)","89.2204016807518(2017)","32.3504171141318(2018)","63.1548549102717(2018)","4.49472797559656(2018)","6315800(2018)","63.649(2018)","6.1(2019)","72.87788481(2016)","0.723512284457684(2016)","1220(2018)","99.586(2018)","22.4(2018)","6.13628(2017)"
Most Recent Value,"(Most Recent Value)","Lao PDR","LAO","1.5(2012)","0.4997(2014)","28.9(2016)","10.4(2016)","46.44212159(2016)","49.8391565449809(2017)","32.6039186819471(2018)","63.3209313536048(2018)","4.0751499644481(2018)","7061507(2018)","64.996(2018)","6.4(2019)","55.21359284(2016)","","2450(2018)","84.66104(2015)","23.4(2012)","2.93781(2014)"
Most Recent Value,"(Most Recent Value)","Latvia","LVA","5.8(2013)","3.1946(2016)","37(2016)","12.9(2016)","44.55706595(2016)","","15.9957769389964(2018)","63.9606027403227(2018)","20.0436203206809(2018)","1926542(2018)","31.858(2018)","5(2019)","874.20357724(2016)","","16510(2018)","99.8959(2011)","22.5(2014)","4.71957(2016)"
Most Recent Value,"(Most Recent Value)","Lebanon","LBN","2.9(2014)","2.271(2017)","33.8(2016)","1.5(2016)","32.13697136(2016)","","26.0958671652131(2018)","66.901764700394(2018)","7.00236813439294(2018)","6848925(2018)","11.407(2018)","11.2(2019)","662.12705762(2016)","","7920(2018)","95.06944(2018)","27.4(2012)","2.45537(2013)"
Most Recent Value,"(Most Recent Value)","Lesotho","LSO","","0.0676(2010)","26.7(2016)","5(2016)","18.88564153(2016)","2.11711141089109(2017)","32.7163515354347(2018)","62.3825609677432(2018)","4.90108749682213(2018)","2108132(2018)","71.847(2018)","4.5(2019)","85.51857328(2016)","1.35076409205794(2010)","1390(2018)","76.6352(2014)","49.7(2017)","6.51166(2018)"
Most Recent Value,"(Most Recent Value)","Liberia","LBR","0.8(2010)","0.0373(2015)","9.8(2016)","5.8(2016)","47.2615094(2016)","1.18848043978493(2017)","41.1249865894663(2018)","55.6215816108536(2018)","3.25343179968014(2018)","4818977(2018)","48.849(2018)","2.4(2019)","68.31283566(2016)","","610(2018)","48.30136(2017)","50.9(2016)","2.2791(2014)"
Most Recent Value,"(Most Recent Value)","Libya","LBY","3.7(2014)","2.1581(2017)","","0(2016)","36.66828417(2011)","","28.3192377277793(2018)","67.2887220132367(2018)","4.39204025898401(2018)","6678567(2018)","19.898(2018)","10.2(2019)","312.57731461(2011)","","6400(2018)","","",""
Most Recent Value,"(Most Recent Value)","Liechtenstein","LIE","","","","","","","","","","37910(2018)","85.662(2018)","9.4(2019)","","","","","","2.55604(2011)"
Most Recent Value,"(Most Recent Value)","Lithuania","LTU","7.3(2013)","4.337(2016)","28.8(2016)","15(2016)","32.33962157(2016)","","14.8824245055089(2018)","65.4125423380302(2018)","19.7050331564608(2018)","2789533(2018)","32.321(2018)","3.8(2019)","987.94931374(2016)","1.63685753941536(2010)","17430(2018)","99.8156(2011)","22.2(2014)","4.00847(2016)"
Most Recent Value,"(Most Recent Value)","Luxembourg","LUX","4.8(2015)","3.0266(2017)","23.5(2016)","13(2016)","11.23414986(2016)","","15.8788239869589(2018)","69.9380218288939(2018)","14.1831541841472(2018)","607728(2018)","9.01900000000001(2018)","5(2019)","6271.43758791(2016)","0.148169440217316(2010)","70870(2018)","","","3.95519(2015)"
Most Recent Value,"(Most Recent Value)","Macao SAR, China","MAC","","","","","","","13.654066582652(2018)","75.8617304903457(2018)","10.4842029270023(2018)","631636(2018)","0(2018)","4.3(2019)","","","79110(2018)","96.53849(2016)","","2.71071(2017)"
Most Recent Value,"(Most Recent Value)","Madagascar","MDG","0.2(2010)","0.1812(2014)","","1.9(2016)","22.35844296(2016)","50.5403509161808(2015)","40.6681505928286(2018)","56.3451322813798(2018)","2.98671712579162(2018)","26262368(2018)","62.809(2018)","4.5(2019)","24.11914971(2016)","0.214166566729546(2010)","510(2018)","74.80432(2018)","70.7(2012)","2.79384(2014)"
Most Recent Value,"(Most Recent Value)","Malawi","MWI","1.3(2011)","0.0157(2016)","14.5(2016)","3.7(2016)","11.38812086(2016)","8.703956048183(2017)","43.9022859066284(2018)","53.4522791630613(2018)","2.64543493031032(2018)","18143315(2018)","83.063(2018)","4.5(2019)","29.58739886(2016)","0.887854024767876(2016)","360(2018)","62.14354(2015)","51.5(2016)","4.03133(2017)"
Most Recent Value,"(Most Recent Value)","Malaysia","MYS","1.9(2015)","1.5132(2015)","21.5(2016)","0.9(2016)","37.59584563(2016)","","23.9951410860297(2018)","69.3331042884915(2018)","6.67175462547886(2018)","31528585(2018)","23.964(2018)","16.7(2019)","361.52197369(2016)","","10590(2018)","93.7347(2016)","0.4(2015)","4.74071(2017)"
Most Recent Value,"(Most Recent Value)","Maldives","MDV","","1.0379(2016)","28.3(2016)","2.7(2016)","19.10066521(2016)","95.8028629366759(2017)","20.1479166020291(2018)","76.1487387918464(2018)","3.70334460612454(2018)","515696(2018)","60.192(2018)","9.2(2019)","1047.8439321(2016)","","9280(2018)","97.73495(2016)","8.2(2016)","4.06728(2016)"
Most Recent Value,"(Most Recent Value)","Mali","MLI","0.1(2010)","0.1393(2016)","12.3(2016)","1.3(2016)","35.28017232(2016)","52.2320839184474(2017)","47.5434863934943(2018)","49.9492838489489(2018)","2.50722975755683(2018)","19077690(2018)","57.644(2018)","2.4(2019)","29.7866224(2016)","1.10799912363291(2016)","840(2018)","35.47377(2018)","","3.09604(2016)"
Most Recent Value,"(Most Recent Value)","Malta","MLT","4.7(2014)","3.826(2015)","25.5(2016)","8.1(2016)","34.77524736(2016)","","14.2769005208902(2018)","65.3737751793975(2018)","20.3493242997122(2018)","483530(2018)","5.38800000000001(2018)","8.3(2019)","2327.78190367(2016)","2.80555933713913(2010)","26480(2018)","94.50319(2018)","","5.27713(2015)"
Most Recent Value,"(Most Recent Value)","Marshall Islands","MHL","2.7(2010)","0.4554(2012)","","","9.00450963(2016)","82.5021672835689(2017)","","","","58413(2018)","22.969(2018)","30.5(2019)","851.3429126(2016)","","4860(2018)","98.26508(2011)","",""
Most Recent Value,"(Most Recent Value)","Mauritania","MRT","","0.179(2017)","","0(2016)","50.90309443(2016)","42.999048887847(2017)","40.0831828216618(2018)","56.7757050202881(2018)","3.14111215805009(2018)","4403319(2018)","46.328(2018)","7.1(2019)","46.77139384(2016)","2.94621009379625(2014)","1160(2018)","53.49759(2017)","31(2014)","2.63107(2016)"
Most Recent Value,"(Most Recent Value)","Mauritius","MUS","3.4(2011)","2.0246(2015)","21.6(2016)","3.6(2016)","48.1607769(2016)","","17.793692318012(2018)","70.7321346133359(2018)","11.4741730686522(2018)","1265303(2018)","59.207(2018)","22(2019)","553.09652768(2016)","1.78945982456207(2012)","12050(2018)","91.32539(2018)","10.3(2017)","4.83201(2018)"
Most Recent Value,"(Most Recent Value)","Mexico","MEX","1.5(2015)","2.2478(2016)","14(2016)","6.5(2016)","40.37819905(2016)","87.8466842172696(2017)","26.5568481908521(2018)","66.2194668282759(2018)","7.22368498087198(2018)","126190788(2018)","19.844(2018)","13.5(2019)","461.78664709(2016)","0.230628833174706(2016)","9180(2018)","95.37991(2018)","41.9(2018)","4.91005(2016)"
Most Recent Value,"(Most Recent Value)","Micronesia, Fed. Sts.","FSM","","0.177(2010)","","2.5(2016)","2.62905844(2016)","","31.7072088068182(2018)","64.2959872159091(2018)","3.99680397727273(2018)","112640(2018)","77.297(2018)","11.9(2019)","386.6940552(2016)","","3400(2018)","","41.2(2013)","12.4595(2015)"
Most Recent Value,"(Most Recent Value)","Moldova","MDA","5.8(2013)","3.2002(2015)","24.2(2016)","15.2(2016)","46.28999357(2016)","86.9794174842251(2016)","15.8600908600909(2018)","72.6703527985579(2018)","11.4695563413512(2018)","3545883(2018)","57.371(2018)","5.7(2019)","171.19013187(2016)","3.56346219778061(2016)","2980(2018)","99.35989(2014)","9.6(2015)","6.68377(2017)"
Most Recent Value,"(Most Recent Value)","Monaco","MCO","13.8(2012)","6.5617(2014)","","","7.0612099(2016)","","","","","38682(2018)","0(2018)","2.9(2019)","2939.84496393(2016)","","","","","1.46121(2017)"
Most Recent Value,"(Most Recent Value)","Mongolia","MNG","7(2012)","2.8866(2016)","25.6(2016)","7.4(2016)","35.87321474(2016)","71.1795489061304(2017)","30.4095683070176(2018)","65.50689290572(2018)","4.08353878726245(2018)","3170208(2018)","31.555(2018)","4.7(2019)","140.70820365(2016)","0.451661378145218(2014)","3660(2018)","98.42312(2018)","28.4(2018)","4.08578(2017)"
Most Recent Value,"(Most Recent Value)","Montenegro","MNE","4(2012)","2.3337(2015)","45.9(2016)","8(2016)","24.08430059(2016)","","18.2095191371898(2018)","66.8155442180663(2018)","14.9749366447439(2018)","622345(2018)","33.187(2018)","9(2019)","531.73230239(2016)","0.777861289680004(2015)","8430(2018)","98.84718(2018)","23.6(2016)",""
Most Recent Value,"(Most Recent Value)","Morocco","MAR","1.1(2014)","0.7273(2017)","23.4(2016)","0.6(2016)","48.61581172(2016)","","27.2063801328554(2018)","65.7807150460324(2018)","7.0129048211122(2018)","36029138(2018)","37.547(2018)","7(2019)","171.4501845(2016)","","3090(2018)","73.75001(2018)","4.8(2013)",""
