Custom_Time_Name,"Custom_Time_Code","Country Name","Country Code","GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","Individuals using the Internet (% of population) [IT.NET.USER.ZS]","Railways, passengers carried (million passenger-km) [IS.RRS.PASG.KM]","Air transport, passengers carried [IS.AIR.PSGR]","Air transport, registered carrier departures worldwide [IS.AIR.DPRT]","Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]","Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS]","CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high) [IQ.CPA.TRAN.XQ]","UHC service coverage index [SH.UHC.SRVS.CV.XD]"
Most Recent Value,"(Most Recent Value)","Netherlands","NLD","49787.0727543045(2018)","94.7120737217303(2018)","18535(2018)","43996044.579144(2018)","325942.296(2018)","..","23.1003080691354(2017)","..","86(2017)"
Most Recent Value,"(Most Recent Value)","New Caledonia","NCL","..","82.0058408035186(2017)","..","..","..","..","..","..",".."
Most Recent Value,"(Most Recent Value)","New Zealand","NZL","36351.5747263046(2018)","90.8110930723827(2017)","..","17249049.9541367(2018)","187851(2018)","42.4222699429698(2016)","28.3187991275222(2018)","..","87(2017)"
Most Recent Value,"(Most Recent Value)","Nicaragua","NIC","4910.05064275522(2018)","27.8630400087748(2017)","..","..","..","..","15.5885863339059(2018)","2.5(2018)","73(2017)"
Most Recent Value,"(Most Recent Value)","Niger","NER","943.599332965419(2018)","5.25048768669473(2018)","..","14713(2017)","471(2017)","..","..","3(2018)","37(2017)"
Most Recent Value,"(Most Recent Value)","Nigeria","NGA","5315.82318062623(2018)","42(2017)","..","8169192.31(2018)","77482.726523888(2018)","..","..","3(2018)","42(2017)"
Most Recent Value,"(Most Recent Value)","North Macedonia","MKD","13483.4534646178(2018)","79.1677551850871(2018)","63.232(2018)","..","..","..","17.5901075917602(2018)","..","72(2017)"
Most Recent Value,"(Most Recent Value)","Northern Mariana Islands","MNP","..","..","..","..","..","..","..","..",".."
Most Recent Value,"(Most Recent Value)","Norway","NOR","65389.176978653(2018)","96.4916579887094(2018)","3096(2017)","..","..","..","23.8617503950879(2018)","..","87(2017)"
Most Recent Value,"(Most Recent Value)","Oman","OMN","37143.3092089262(2018)","80.185635733257(2017)","..","10438241(2018)","76672(2018)","..","..","..","69(2017)"
Most Recent Value,"(Most Recent Value)","Pakistan","PAK","4939.78001670791(2018)","15.51(2017)","24903(2018)","6880637(2018)","48542(2018)","..","..","3(2018)","45(2017)"
Most Recent Value,"(Most Recent Value)","Palau","PLW","16424.5518374085(2018)","..","..","..","..","67.5444910397514(2016)","21.2900404310933(2018)","..",".."
Most Recent Value,"(Most Recent Value)","Panama","PAN","22674.3990441347(2018)","57.8650900656079(2017)","..","12939350(2018)","119148(2018)","..","..","..","79(2017)"
Most Recent Value,"(Most Recent Value)","Papua New Guinea","PNG","3847.65237015163(2018)","11.2091965928578(2017)","..","964713(2018)","41545.1707849472(2018)","29.8753777260463(2015)","13.5964488267056(2018)","3(2018)","40(2017)"
Most Recent Value,"(Most Recent Value)","Paraguay","PRY","12067.5362699846(2018)","64.9935430235756(2018)","..","560631(2018)","4215(2018)","..","9.95347006736508(2017)","..","69(2017)"
Most Recent Value,"(Most Recent Value)","Peru","PER","12793.494870612(2018)","52.5403101713654(2018)","..","17758527.272(2018)","141025.363(2018)","23.1832496081886(2016)","13.1852317397569(2017)","..","77(2017)"
Most Recent Value,"(Most Recent Value)","Philippines","PHL","7942.50985686291(2018)","60.0547603336913(2017)","384(2016)","43080118(2018)","292450(2018)","45.3946271793812(2014)","14.7238548282603(2018)","..","61(2017)"
Most Recent Value,"(Most Recent Value)","Poland","POL","28785.5414230344(2018)","77.5417345350006(2018)","9466.3(2016)","9277538(2018)","123903(2018)","..","16.8109798715763(2017)","..","75(2017)"
Most Recent Value,"(Most Recent Value)","Portugal","PRT","28999.3730926755(2018)","74.6609681128324(2018)","4032.713(2017)","17367956(2018)","182753(2018)","..","22.4606392711588(2017)","..","82(2017)"
Most Recent Value,"(Most Recent Value)","Puerto Rico","PRI","35085.2973139475(2018)","70.59787359(2017)","..","..","..","..","..","..",".."
Most Recent Value,"(Most Recent Value)","Qatar","QAT","112599.972537395(2018)","99.6528491261175(2018)","..","29178923(2018)","197811(2018)","..","..","..","68(2017)"
Most Recent Value,"(Most Recent Value)","Romania","ROU","24538.077550491(2018)","70.6812779273268(2018)","5365.914(2017)","4908235(2018)","55637(2018)","..","15.4396973897876(2017)","..","74(2017)"
Most Recent Value,"(Most Recent Value)","Russian Federation","RUS","24790.6483258882(2017)","80.8647214200397(2018)","129370.701(2018)","99327311(2018)","885094(2018)","14.1758237480639(2016)","11.4672107998923(2018)","..","74(2017)"
Most Recent Value,"(Most Recent Value)","Rwanda","RWA","1997.85919835339(2018)","21.7676326213782(2017)","..","1073528(2018)","18439(2018)","..","13.6173607623843(2017)","3.5(2018)","57(2017)"
Most Recent Value,"(Most Recent Value)","Samoa","WSM","5752.99315695443(2018)","33.6109393195046(2017)","..","137770(2018)","6848(2018)","..","25.4601861350623(2018)","4(2018)","58(2017)"
Most Recent Value,"(Most Recent Value)","San Marino","SMR","57296.8642567228(2017)","60.1823012607528(2017)","..","..","..","53.7742498918116(2016)","15.6549158259086(2016)","..",".."
Most Recent Value,"(Most Recent Value)","Sao Tome and Principe","STP","3033.39298016278(2018)","29.9312292018213(2017)","..","..","..","..","..","3.5(2018)","55(2017)"
Most Recent Value,"(Most Recent Value)","Saudi Arabia","SAU","49100.6563426032(2018)","93.3100018480347(2018)","134.65(2018)","39141659.999(2018)","254063.746947842(2018)","..","3.38483623653337(2017)","..","74(2017)"
Most Recent Value,"(Most Recent Value)","Senegal","SEN","3356.33591022565(2018)","46(2017)","..","21038(2018)","1087(2018)","..","15.7742609935958(2015)","3.5(2018)","45(2017)"
Most Recent Value,"(Most Recent Value)","Serbia","SRB","16049.2790508045(2018)","73.360709154564(2018)","377(2017)","2262703(2018)","28160(2018)","..","18.5525002126608(2012)","..","65(2017)"
Most Recent Value,"(Most Recent Value)","Seychelles","SYC","27114.0154914524(2018)","58.769811242531(2017)","..","455201(2018)","18671(2018)","63.3403933800613(2015)","31.6735115038211(2016)","..","71(2017)"
Most Recent Value,"(Most Recent Value)","Sierra Leone","SLE","1421.46941800711(2018)","9(2017)","..","50193(2012)","2145(2012)","..","..","3(2018)","39(2017)"
Most Recent Value,"(Most Recent Value)","Singapore","SGP","90091.4151726294(2018)","88.1656360313447(2018)","..","40401515(2018)","208787(2018)","109.39795310629(2016)","13.4686879991958(2018)","..","86(2017)"
Most Recent Value,"(Most Recent Value)","Sint Maarten (Dutch part)","SXM","28882.7956693037(2017)","..","..","..","..","..","..","..",".."
Most Recent Value,"(Most Recent Value)","Slovak Republic","SVK","31226.4464427041(2018)","80.660335563768(2018)","3815.147(2018)","7925(2017)","51(2017)","..","17.8149840969873(2017)","..","77(2017)"
Most Recent Value,"(Most Recent Value)","Slovenia","SVN","32728.4011872245(2018)","79.7499765956562(2018)","655.88(2018)","1094762(2018)","18444(2018)","..","18.4428291175131(2017)","..","79(2017)"
Most Recent Value,"(Most Recent Value)","Solomon Islands","SLB","2149.82503398787(2018)","11.9242290619686(2017)","..","427806(2018)","14365(2018)","7.01769496957772(2016)","29.5493496382635(2018)","3(2018)","47(2017)"
Most Recent Value,"(Most Recent Value)","Somalia","SOM","..","2.00404869843096(2017)","..","4486(2018)","98(2018)","..","0.000122872433737199(2018)","1.5(2017)","25(2017)"
Most Recent Value,"(Most Recent Value)","South Africa","ZAF","12144.6942047756(2018)","56.1673944673383(2017)","..","23921748.0700525(2018)","180317.18600139(2018)","..","26.9660668144899(2017)","..","69(2017)"
Most Recent Value,"(Most Recent Value)","South Sudan","SSD","1597.09091103261(2015)","7.97742890716027(2017)","..","..","..","..","..","1.5(2018)","31(2017)"
Most Recent Value,"(Most Recent Value)","Spain","ESP","34830.5444428722(2018)","86.1072355256591(2018)","27903(2018)","80672105(2018)","641020(2018)","104.572915274022(2016)","13.8598889039985(2017)","..","83(2017)"
Most Recent Value,"(Most Recent Value)","Sri Lanka","LKA","11955.4997097489(2018)","34.1133478999619(2017)","7407.39(2015)","5882376(2018)","34425(2018)","77.6503941209344(2015)","11.8500072966585(2018)","3(2015)","66(2017)"
Most Recent Value,"(Most Recent Value)","St. Kitts and Nevis","KNA","26804.0862085403(2018)","80.710190808323(2017)","..","..","..","59.902696455775(2014)","18.4612241107086(2017)","..",".."
Most Recent Value,"(Most Recent Value)","St. Lucia","LCA","12317.2695762076(2018)","50.8152447764038(2017)","..","..","..","64.8182294939526(2014)","20.0486523640905(2017)","4.5(2018)","68(2017)"
Most Recent Value,"(Most Recent Value)","St. Martin (French part)","MAF","..","..","..","..","..","..","..","..",".."
Most Recent Value,"(Most Recent Value)","St. Vincent and the Grenadines","VCT","10903.4110883635(2018)","22.39426119213(2018)","..","..","..","68.7494592407486(2014)","25.3576638240575(2017)","4(2018)","71(2017)"
Most Recent Value,"(Most Recent Value)","Sudan","SDN","4435.8570954933(2017)","30.8702957284927(2017)","81.5(2014)","269958.48(2018)","3170(2018)","..","7.9614507925651(2016)","1.5(2018)","44(2017)"
Most Recent Value,"(Most Recent Value)","Suriname","SUR","13762.8018565847(2018)","48.9451739738554(2017)","..","272347(2018)","3225(2018)","..","..","..","71(2017)"
Most Recent Value,"(Most Recent Value)","Sweden","SWE","47717.6647412546(2018)","92.1416770535508(2018)","6339(2016)","..","..","..","27.5988596521221(2017)","..","86(2017)"
Most Recent Value,"(Most Recent Value)","Switzerland","CHE","59317.3239900639(2018)","89.68614767(2017)","17958.315(2018)","28857994(2018)","219782(2018)","19.734923096329(2016)","10.0809376365226(2018)","..","83(2017)"
Most Recent Value,"(Most Recent Value)","Syrian Arab Republic","SYR","..","34.2534019252321(2017)","1223(2013)","17896.9211653632(2018)","167.753530166881(2018)","..","..","..","60(2017)"
Most Recent Value,"(Most Recent Value)","Tajikistan","TJK","3061.07072145518(2018)","21.959999999615(2017)","28(2017)","492320(2018)","4021(2018)","..","..","2(2018)","68(2017)"
Most Recent Value,"(Most Recent Value)","Tanzania","TZA","2809.06900948105(2017)","25(2017)","..","1481557(2018)","51577(2018)","..","11.4939546136518(2018)","2.5(2018)","43(2017)"
Most Recent Value,"(Most Recent Value)","Thailand","THA","16904.6983824499(2018)","56.8174809301456(2018)","8032(2011)","76053042.754(2018)","475886.496(2018)","35.2739604076527(2015)","14.9727184350176(2018)","..","80(2017)"
Most Recent Value,"(Most Recent Value)","Timor-Leste","TLS","6795.51037732303(2018)","27.4927317258886(2017)","..","..","..","..","12.8895360152784(2017)","2.5(2018)","52(2017)"
Most Recent Value,"(Most Recent Value)","Togo","TGO","1574.02040685635(2018)","12.36022497(2017)","..","566295(2018)","11559(2018)","..","16.8758408661957(2018)","3(2018)","43(2017)"
Most Recent Value,"(Most Recent Value)","Tonga","TON","5696.22889040444(2018)","41.248727643705(2017)","..","..","..","51.8083889825745(2016)","22.2581732148491(2017)","3.5(2018)","58(2017)"
Most Recent Value,"(Most Recent Value)","Trinidad and Tobago","TTO","28407.4737326011(2018)","77.3260529262867(2017)","..","2525130(2018)","32770(2018)","..","26.4634209668529(2015)","..","74(2017)"
Most Recent Value,"(Most Recent Value)","Tunisia","TUN","11094.0478540293(2018)","64.1908102327387(2018)","1164(2017)","4274199(2018)","41446(2018)","44.6597512024834(2012)","21.1278896557998(2012)","..","70(2017)"
Most Recent Value,"(Most Recent Value)","Turkey","TUR","25357.7222342519(2018)","71.0427610728292(2018)","5560(2018)","115595495.817(2018)","772925.545(2018)","31.8721809053214(2016)","17.8640331232954(2018)","..","74(2017)"
Most Recent Value,"(Most Recent Value)","Turkmenistan","TKM","17128.985335654(2018)","21.2509974103691(2017)","2340(2017)","2457474(2018)","18184(2018)","..","..","..","70(2017)"
Most Recent Value,"(Most Recent Value)","Turks and Caicos Islands","TCA","22512.0514966094(2018)","..","..","..","..","..","..","..",".."
Most Recent Value,"(Most Recent Value)","Tuvalu","TUV","3593.27418436201(2018)","49.3183386210322(2017)","..","..","..","..","..","3.5(2018)",".."
Most Recent Value,"(Most Recent Value)","Uganda","UGA","1808.43113363406(2018)","23.7065309106142(2017)","..","21537(2018)","4832(2018)","..","14.0097033803351(2018)","2.5(2018)","45(2017)"
Most Recent Value,"(Most Recent Value)","Ukraine","UKR","7906.54030108419(2017)","62.5531553933869(2018)","28001(2017)","7854842(2018)","66712(2018)","71.8095454494004(2016)","20.1515859978318(2018)","..","68(2017)"
Most Recent Value,"(Most Recent Value)","United Arab Emirates","ARE","66616.050283165(2018)","98.4500017817194(2018)","..","95533069(2018)","455957(2018)","1.89352238938485(2013)","0.0604610482126447(2018)","..","76(2017)"
Most Recent Value,"(Most Recent Value)","United Kingdom","GBR","40522.246607902(2018)","94.8967417605954(2018)","2900(2015)","165388610(2018)","1242985(2018)","114.972244759278(2016)","25.4459331543149(2017)","..","87(2017)"
Most Recent Value,"(Most Recent Value)","United States","USA","55719.1199814423(2018)","87.2661128245915(2017)","10239.3922(2018)","889022000(2018)","9879630(2018)","99.0171145300394(2016)","9.63258720897131(2018)","..","84(2017)"
Most Recent Value,"(Most Recent Value)","Uruguay","URY","20916.1501843495(2018)","74.7671347261997(2018)","8(2015)","..","..","50.6849558753255(2016)","20.0919630214111(2018)","..","80(2017)"
Most Recent Value,"(Most Recent Value)","Uzbekistan","UZB","7591.98672671097(2018)","55.2(2018)","4294(2017)","3056558(2018)","21514(2018)","..","14.7556955730882(2018)","2.5(2018)","73(2017)"
Most Recent Value,"(Most Recent Value)","Vanuatu","VUT","2858.20236927873(2018)","25.719787835664(2017)","..","374603(2018)","11723(2018)","..","17.8452393340415(2018)","3(2018)","48(2017)"
Most Recent Value,"(Most Recent Value)","Venezuela, RB","VEN","9401.62274820871(2018)","72(2017)","..","2137771(2018)","24986(2018)","..","..","..","74(2017)"
Most Recent Value,"(Most Recent Value)","Vietnam","VNM","6608.62168558013(2018)","70.3496355762121(2018)","3542(2018)","47049671(2018)","283787(2018)","..","..","3(2015)","75(2017)"
Most Recent Value,"(Most Recent Value)","Virgin Islands (U.S.)","VIR","..","64.3774942980087(2017)","..","..","..","..","..","..",".."
Most Recent Value,"(Most Recent Value)","West Bank and Gaza","PSE","4576.43249715837(2018)","64.3999937114499(2018)","..","..","..","..","6.38610332551923(2017)","..",".."
Most Recent Value,"(Most Recent Value)","Yemen, Rep.","YEM","2284.97050409848(2018)","26.7183547662977(2017)","..","336310(2018)","2342(2018)","..","..","1.5(2018)","42(2017)"
Most Recent Value,"(Most Recent Value)","Zambia","ZMB","3747.97245489578(2018)","14.2999970950012(2018)","..","8904(2018)","734(2018)","49.4072998798677(2015)","15.1848706194055(2017)","2.5(2018)","53(2017)"
Most Recent Value,"(Most Recent Value)","Zimbabwe","ZWE","2688.40694206013(2018)","27.0554876878336(2017)","..","282539(2018)","3444(2018)","..","15.7931498902141(2017)","2.5(2018)","54(2017)"
Most Recent Value,"(Most Recent Value)","Arab World","ARB","15590.3983543271(2018)","63.1667289489987(2018)","..","228275181.778111(2018)","1493348.76870414(2018)","..","5.31591240378477(2015)","2.2(2018)","63.1907395923898(2017)"
Most Recent Value,"(Most Recent Value)","Caribbean small states","CSS","14363.2069296859(2018)","59.1763508018446(2017)","..","6079320.84870591(2018)","244659.385838448(2018)","..","23.4774572724191(2015)","3.9(2018)","69.3001066399759(2017)"
Most Recent Value,"(Most Recent Value)","Central Europe and the Baltics","CEB","27832.2867226497(2018)","75.9933743459813(2018)","756(2018)","59467579(2018)","528364(2018)","..","17.6074366991302(2017)","..","74.0924130027769(2017)"
Most Recent Value,"(Most Recent Value)","Early-demographic dividend","EAR","9121.1745711586(2018)","38.0290615571683(2017)","..","739426396.480653(2018)","6188980.51779222(2018)","..","13.045534308646(2017)","2.96551724137931(2018)","58.0240264575026(2017)"
Most Recent Value,"(Most Recent Value)","East Asia & Pacific","EAS","17244.8340918719(2018)","55.0732656812101(2017)","12338.2(2010)","1363172025.87065(2018)","10252929.8551914(2018)","..","11.7333013637199(2016)","3.03571428571429(2018)","74.9662929687644(2017)"
Most Recent Value,"(Most Recent Value)","East Asia & Pacific (excluding high income)","EAP","14297.925499767(2018)","51.1687446617394(2017)","..","963814708.881758(2018)","7384072.85519138(2018)","..","9.86227582523577(2016)","3.03571428571429(2018)","73.9969357129343(2017)"
Most Recent Value,"(Most Recent Value)","East Asia & Pacific (IDA & IBRD countries)","TEA","14448.2352270826(2018)","51.1687446617394(2017)","2820.4811(2016)","963711148.881758(2018)","7383612.85519138(2018)","..","9.86252659831938(2016)","3.03571428571429(2018)","74.0342472214306(2017)"
Most Recent Value,"(Most Recent Value)","Euro area","EMU","40037.6080041018(2018)","83.7784758771368(2018)","10710(2018)","582604112.868714(2018)","4557258.9394902(2018)","..","18.974262008323(2017)","..","81.1410379962254(2017)"
Most Recent Value,"(Most Recent Value)","Europe & Central Asia","ECS","30683.8924028048(2018)","79.7532365709452(2018)","4271(2017)","1082810024.17818(2018)","8484576.15905476(2018)","..","19.2186774272103(2017)","2.6(2018)","77.2140574272168(2017)"
Most Recent Value,"(Most Recent Value)","Europe & Central Asia (excluding high income)","ECA","19931.9476722367(2018)","73.1086018721316(2018)","1017.23(2017)","252390985.74948(2018)","2045469.91697346(2018)","23.9732073194221(2016)","14.0724105374157(2018)","2.6(2018)","72.2778737863624(2017)"
Most Recent Value,"(Most Recent Value)","Europe & Central Asia (IDA & IBRD countries)","TEC","20696.321841242(2018)","73.520921529994(2018)","745(2017)","263762100.74948(2018)","2196561.91697346(2018)","23.9732073194221(2016)","14.0724105374157(2018)","2.6(2018)","72.493018588867(2017)"
Most Recent Value,"(Most Recent Value)","European Union","EUU","38155.6731119978(2018)","84.04980528453(2018)","5781(2017)","802248765.868714(2018)","6252642.9394902(2018)","..","20.3121549240587(2017)","..","80.7284703335473(2017)"
Most Recent Value,"(Most Recent Value)","Fragile and conflict affected situations","FCS","4133.55041854733(2018)","22.2626941950514(2017)","..","16817454.5632929(2018)","281256.959803504(2018)","..","..","2.51666666666667(2018)","45.9736150280252(2017)"
Most Recent Value,"(Most Recent Value)","Heavily indebted poor countries (HIPC)","HPC","2245.500655483(2018)","19.3528385873458(2017)","..","25863719.2257648(2018)","396844.481716832(2018)","..","12.6092145977304(2015)","2.66216216216216(2018)","42.3096611877193(2017)"
Most Recent Value,"(Most Recent Value)","High income","HIC","44896.3102970778(2018)","85.0157729128049(2017)","6803.5(2017)","2442281805.77021(2018)","22212869.9981831(2018)","..","15.5876938948696(2017)","..","82.3012051137148(2017)"
Most Recent Value,"(Most Recent Value)","IBRD only","IBD","13079.0842507549(2018)","50.1651895347146(2017)","2259.94(2010)","1767076877.23175(2018)","14182345.5285248(2018)","..","11.9749359465519(2016)","3(2015)","68.454523400705(2017)"
Most Recent Value,"(Most Recent Value)","IDA & IBRD total","IBT","10643.8841980493(2018)","43.323287272363(2017)","..","1837086756.14895(2018)","15257060.4846283(2018)","..","11.9686328176929(2016)","2.84246575342466(2018)","62.6670602835066(2017)"
Most Recent Value,"(Most Recent Value)","IDA blend","IDB","4981.65377034493(2018)","28.3600644648698(2017)","1646.8735(2011)","29505509.4069173(2018)","391166.075753502(2018)","..","..","3.15625(2018)","47.029090939121(2017)"
Most Recent Value,"(Most Recent Value)","IDA only","IDX","2880.33379348709(2018)","20.2468525363358(2017)","..","40504369.5102854(2018)","683548.880349989(2018)","..","11.240120784505(2015)","2.75438596491228(2018)","44.8283276323578(2017)"
Most Recent Value,"(Most Recent Value)","IDA total","IDA","3600.12106330355(2018)","22.9964303116938(2017)","..","70009878.9172027(2018)","1074714.95610349(2018)","..","..","2.84246575342466(2018)","45.5749278342613(2017)"
Most Recent Value,"(Most Recent Value)","Late-demographic dividend","LTE","17011.0013332846(2018)","59.2428246582081(2017)","1596.2515(2017)","1433612744.71525(2018)","10719225.8992643(2018)","..","11.0776918820854(2016)","3.33333333333333(2018)","77.4248234254577(2017)"
Most Recent Value,"(Most Recent Value)","Latin America & Caribbean","LCN","14428.119675344(2018)","65.8062854383606(2018)","..","292832219.452706(2018)","2818642.41483845(2018)","..","13.1328965424024(2017)","3.4375(2018)","75.4156709963095(2017)"
Most Recent Value,"(Most Recent Value)","Latin America & Caribbean (excluding high income)","LAC","13891.6795289755(2018)","65.739453251234(2018)","..","255798984.099079(2018)","2449950.99186535(2018)","..","12.8668098899538(2017)","3.4375(2018)","75.534126318349(2017)"
Most Recent Value,"(Most Recent Value)","Latin America & the Caribbean (IDA & IBRD countries)","TLA","14353.1745033672(2018)","65.8062854383606(2018)","..","290800068.923914(2018)","2751003.29213874(2018)","..","13.1291382231675(2017)","3.4375(2018)","75.2763356953822(2017)"
Most Recent Value,"(Most Recent Value)","Least developed countries: UN classification","LDC","2654.74438226429(2018)","18.2496988224006(2017)","..","37807273.6566402(2018)","594788.75484636(2018)","..","10.2892959127027(2016)","2.65555555555556(2018)","43.5347563340133(2017)"
Most Recent Value,"(Most Recent Value)","Low & middle income","LMY","10450.5689372357(2018)","43.0069475714592(2017)","..","1790362915.32411(2018)","14786705.1843549(2018)","..","11.7201824581296(2016)","2.84246575342466(2018)","62.6131244306881(2017)"
Most Recent Value,"(Most Recent Value)","Low income","LIC","2024.65907083326(2018)","16.4386660810544(2017)","..","22950296.9696875(2018)","348210.395774867(2018)","..","..","2.51785714285714(2018)","42.2280476939158(2017)"
Most Recent Value,"(Most Recent Value)","Lower middle income","LMC","6792.63105087934(2018)","34.716073808246(2017)","..","454263690.401515(2018)","3791630.30432862(2018)","44.1112238427884(2011)","12.0429509652893(2017)","2.86764705882353(2018)","54.8295207830783(2017)"
Most Recent Value,"(Most Recent Value)","Middle East & North Africa","MEA","18344.9300674277(2018)","65.1449720538353(2018)","..","263132444.013647(2018)","1788051.54501101(2018)","..","..","2(2018)","68.520224566904(2017)"
Most Recent Value,"(Most Recent Value)","Middle East & North Africa (excluding high income)","MNA","12500.0921076446(2017)","59.6425008317772(2018)","1534(2010)","66517430.0146468(2018)","625199.79806317(2018)","..","..","2(2018)","67.3916617787619(2017)"
Most Recent Value,"(Most Recent Value)","Middle East & North Africa (IDA & IBRD countries)","TMN","12595.3858999138(2017)","59.5675021888616(2018)","1534(2010)","66517430.0146468(2018)","625199.79806317(2018)","..","..","2(2018)","67.3916617787619(2017)"
Most Recent Value,"(Most Recent Value)","Middle income","MIC","11505.0336089223(2018)","46.118026465516(2017)","..","1767412618.35443(2018)","14438494.78858(2018)","..","11.71038195824(2016)","3.04444444444444(2018)","65.1099477013722(2017)"
Most Recent Value,"(Most Recent Value)","North America","NAC","54535.2662211825(2018)","87.6470502224103(2017)","5917.9911(2018)","978402000(2018)","11354692.5861809(2018)","99.0171145300394(2016)","9.92403597937189(2018)","..","84.5051360527254(2017)"
Most Recent Value,"(Most Recent Value)","Not classified","INX","..","..","..","..","..","..","..","..",".."
Most Recent Value,"(Most Recent Value)","OECD members","OED","40536.8941974304(2018)","82.5248536095399(2018)","6803.5(2017)","2320874232.23458(2018)","21692568.3732622(2018)","..","15.7864605514016(2017)","..","81.5917702761902(2017)"
Most Recent Value,"(Most Recent Value)","Other small states","OSS","23957.8827797416(2018)","52.850050362276(2017)","..","51705282(2016)","472428(2016)","..","..","2.95(2018)","59.1594091129412(2017)"
Most Recent Value,"(Most Recent Value)","Pacific island small states","PSS","5617.49041916027(2018)","32.7039634145311(2017)","..","2746732(2018)","65161(2018)","..","23.7970308843913(2018)","3.4375(2018)","54.6608157541816(2017)"
Most Recent Value,"(Most Recent Value)","Post-demographic dividend","PST","43164.8165140467(2018)","83.8207586498311(2017)","6215.3(2018)","2033111003.34644(2018)","19638890.1579445(2018)","..","15.7530908859914(2017)","3(2013)","82.5096770812744(2017)"
Most Recent Value,"(Most Recent Value)","Pre-demographic dividend","PRE","3533.66776712227(2018)","24.0610550758668(2017)","..","26424490.5519806(2018)","449389.607537073(2018)","..","..","2.54545454545455(2018)","42.6967545319157(2017)"
Most Recent Value,"(Most Recent Value)","Small states","SST","21105.5917772808(2018)","52.796543904598(2017)","..","61652480.5279868(2018)","773348.909281233(2018)","..","..","3.32608695652174(2018)","60.7360757978015(2017)"
Most Recent Value,"(Most Recent Value)","South Asia","SAS","6286.31338739721(2018)","30.0991840496481(2017)","21201(2016)","189225467.367117(2018)","1512779.2747231(2018)","50.9779050508461(2013)","11.2889656165471(2017)","2.91666666666667(2018)","52.8811173361077(2017)"
Most Recent Value,"(Most Recent Value)","South Asia (IDA & IBRD)","TSA","6286.31338739721(2018)","30.0991840496481(2017)","21201(2016)","189225467.367117(2018)","1512779.2747231(2018)","50.9779050508461(2013)","11.2889656165471(2017)","2.91666666666667(2018)","52.8811173361077(2017)"
Most Recent Value,"(Most Recent Value)","Sub-Saharan Africa","SSF","3535.53127989585(2018)","25.4153314965117(2017)","..","63070540.2120331(2018)","787903.347538463(2018)","..","18.6741457341374(2016)","2.71052631578947(2018)","43.8872373518683(2017)"
Most Recent Value,"(Most Recent Value)","Sub-Saharan Africa (excluding high income)","SSA","3533.41484991939(2018)","25.4122688607594(2017)","..","62615339.2120331(2018)","769232.347538463(2018)","..","18.6586535625069(2016)","2.71052631578947(2018)","43.8847626610096(2017)"
Most Recent Value,"(Most Recent Value)","Sub-Saharan Africa (IDA & IBRD countries)","TSS","3535.53127989585(2018)","25.4153314965117(2017)","..","63070540.2120331(2018)","787903.347538463(2018)","..","18.6741457341374(2016)","2.71052631578947(2018)","43.8872373518683(2017)"
Most Recent Value,"(Most Recent Value)","Upper middle income","UMC","16856.1318854146(2018)","58.8140955526792(2017)","..","1313148927.95291(2018)","10646864.4842514(2018)","..","11.6784219658653(2016)","3.59090909090909(2018)","76.7216834069326(2017)"
Most Recent Value,"(Most Recent Value)","World","WLD","15914.1721718953(2018)","49.7230790801991(2017)","..","4232644721.09433(2018)","36999575.182538(2018)","..","15.1263299653698(2017)","2.84246575342466(2018)","65.6911455846519(2017)"
,"","","","","","","","","","","",""
,"","","","","","","","","","","",""
,"","","","","","","","","","","",""
Data from database: World Development Indicators,"","","","","","","","","","","",""
Last Updated: 03/18/2020,"","","","","","","","","","","",""
