Custom_Time_Name,"Custom_Time_Code","Country Name","Country Code","Control of Corruption: Estimate [CC.EST]","Government Effectiveness: Estimate [GE.EST]","Political Stability and Absence of Violence/Terrorism: Estimate [PV.EST]","Regulatory Quality: Estimate [RQ.EST]","Rule of Law: Estimate [RL.EST]","Voice and Accountability: Estimate [VA.EST]"
Most Recent Value,"(Most Recent Value)","Latvia","LVA","0.3285871(2018)","1.043452(2018)","0.4215345(2018)","1.189894(2018)","0.9569856(2018)","0.8133246(2018)"
Most Recent Value,"(Most Recent Value)","Lebanon","LBN","-1.108917(2018)","-0.6402023(2018)","-1.644891(2018)","-0.3416829(2018)","-0.7644128(2018)","-0.4990998(2018)"
Most Recent Value,"(Most Recent Value)","Lesotho","LSO","-0.1033081(2018)","-0.8609057(2018)","-0.2183286(2018)","-0.4965023(2018)","-0.3366604(2018)","0.0843929(2018)"
Most Recent Value,"(Most Recent Value)","Liberia","LBR","-0.8509958(2018)","-1.340831(2018)","-0.1924032(2018)","-0.9712892(2018)","-0.9890524(2018)","-0.0432927(2018)"
Most Recent Value,"(Most Recent Value)","Libya","LBY","-1.552711(2018)","-1.847037(2018)","-2.441388(2018)","-2.278996(2018)","-1.78583(2018)","-1.520825(2018)"
Most Recent Value,"(Most Recent Value)","Liechtenstein","LIE","2.00771(2018)","1.739037(2018)","1.484191(2018)","1.532828(2018)","1.678037(2018)","1.319968(2018)"
Most Recent Value,"(Most Recent Value)","Lithuania","LTU","0.4978957(2018)","1.072398(2018)","0.752799(2018)","1.113281(2018)","0.9573604(2018)","0.9233596(2018)"
Most Recent Value,"(Most Recent Value)","Luxembourg","LUX","2.087755(2018)","1.778221(2018)","1.373404(2018)","1.757206(2018)","1.810886(2018)","1.566906(2018)"
Most Recent Value,"(Most Recent Value)","Macao SAR, China","MAC","0.7156818(2018)","1.204366(2018)","1.262964(2018)","1.609498(2018)","1.009767(2018)","-0.0506621(2018)"
Most Recent Value,"(Most Recent Value)","Madagascar","MDG","-1.000727(2018)","-1.153121(2018)","-0.5190363(2018)","-0.7334517(2018)","-0.8139714(2018)","-0.3094514(2018)"
Most Recent Value,"(Most Recent Value)","Malawi","MWI","-0.7433892(2018)","-0.7286705(2018)","-0.3250225(2018)","-0.6708331(2018)","-0.3802995(2018)","-0.058092(2018)"
Most Recent Value,"(Most Recent Value)","Malaysia","MYS","0.3139765(2018)","1.075348(2018)","0.2373901(2018)","0.682474(2018)","0.6233374(2018)","-0.083688(2018)"
Most Recent Value,"(Most Recent Value)","Maldives","MDV","-0.8930011(2018)","-0.4884941(2018)","0.0950901(2018)","-0.4830082(2018)","-0.5495973(2018)","-0.6604531(2018)"
Most Recent Value,"(Most Recent Value)","Mali","MLI","-0.695331(2018)","-1.004638(2018)","-2.05126(2018)","-0.5496903(2018)","-0.7977482(2018)","-0.3091827(2018)"
Most Recent Value,"(Most Recent Value)","Malta","MLT","0.5799018(2018)","0.968796(2018)","1.294193(2018)","1.336778(2018)","1.053974(2018)","1.123317(2018)"
Most Recent Value,"(Most Recent Value)","Marshall Islands","MHL","-0.0740994(2018)","-1.554391(2018)","0.8627383(2018)","-1.138546(2018)","-0.0471537(2018)","1.146016(2018)"
Most Recent Value,"(Most Recent Value)","Martinique","MTQ","1.238614(2018)","1.108839(2018)","0.9858225(2018)","1.187921(2018)","0.8764146(2018)","0.5621245(2013)"
Most Recent Value,"(Most Recent Value)","Mauritania","MRT","-0.8072538(2018)","-0.7266325(2018)","-0.6677783(2018)","-0.8108506(2018)","-0.6859449(2018)","-0.8540774(2018)"
Most Recent Value,"(Most Recent Value)","Mauritius","MUS","0.2696345(2018)","0.8760849(2018)","0.872838(2018)","1.027193(2018)","0.7796614(2018)","0.7605995(2018)"
Most Recent Value,"(Most Recent Value)","Mexico","MEX","-0.8628517(2018)","-0.153388(2018)","-0.572437(2018)","0.1509804(2018)","-0.6737109(2018)","-0.0059178(2018)"
Most Recent Value,"(Most Recent Value)","Micronesia, Fed. Sts.","FSM","0.6930298(2018)","-0.1488629(2018)","1.340414(2018)","-0.9598854(2018)","-0.0186115(2018)","1.146016(2018)"
Most Recent Value,"(Most Recent Value)","Moldova","MDA","-0.7267502(2018)","-0.4665205(2018)","-0.3490165(2018)","-0.0490203(2018)","-0.413572(2018)","-0.1066419(2018)"
Most Recent Value,"(Most Recent Value)","Monaco","MCO","","","1.612102(2018)","","0.9354892(2013)","0.660958(2018)"
Most Recent Value,"(Most Recent Value)","Mongolia","MNG","-0.4277897(2018)","-0.2333477(2018)","0.7887995(2018)","-0.0298508(2018)","-0.2664937(2018)","0.2625469(2018)"
Most Recent Value,"(Most Recent Value)","Montenegro","MNE","0.0227987(2018)","0.1311615(2018)","0.1080209(2018)","0.3625335(2018)","0.0987423(2018)","0.0801339(2018)"
Most Recent Value,"(Most Recent Value)","Morocco","MAR","-0.2164034(2018)","-0.2092959(2018)","-0.3318862(2018)","-0.2429393(2018)","-0.1384849(2018)","-0.6630427(2018)"
Most Recent Value,"(Most Recent Value)","Mozambique","MOZ","-0.7813797(2018)","-0.8742813(2018)","-0.7836707(2018)","-0.7263409(2018)","-1.043689(2018)","-0.4674458(2018)"
Most Recent Value,"(Most Recent Value)","Myanmar","MMR","-0.588294(2018)","-1.068652(2018)","-1.309011(2018)","-0.7531742(2018)","-1.032579(2018)","-0.8873216(2018)"
Most Recent Value,"(Most Recent Value)","Namibia","NAM","0.3399599(2018)","0.106442(2018)","0.6537775(2018)","-0.052499(2018)","0.2449811(2018)","0.4862734(2018)"
Most Recent Value,"(Most Recent Value)","Nauru","NRU","-0.5539093(2018)","-0.076744(2018)","0.5126343(2018)","-0.0467818(2018)","-0.6908471(2018)","0.660958(2018)"
Most Recent Value,"(Most Recent Value)","Nepal","NPL","-0.6736505(2018)","-0.9023383(2018)","-0.6251459(2018)","-0.7456533(2018)","-0.4780528(2018)","-0.1319581(2018)"
Most Recent Value,"(Most Recent Value)","Netherlands","NLD","2.009026(2018)","1.850466(2018)","0.8682934(2018)","2.01824(2018)","1.816361(2018)","1.596444(2018)"
Most Recent Value,"(Most Recent Value)","Netherlands Antilles","ANT","0.7853686(2013)","0.7527696(2013)","0.6764035(2013)","0.8467881(2013)","0.848269(2013)","0.3408031(2013)"
Most Recent Value,"(Most Recent Value)","New Zealand","NZL","2.174696(2018)","1.670251(2018)","1.541482(2018)","1.978822(2018)","1.876294(2018)","1.623501(2018)"
Most Recent Value,"(Most Recent Value)","Nicaragua","NIC","-1.06336(2018)","-0.8024699(2018)","-0.8013505(2018)","-0.6863752(2018)","-1.039721(2018)","-1.083065(2018)"
Most Recent Value,"(Most Recent Value)","Niger","NER","-0.5798146(2018)","-0.7660425(2018)","-1.260566(2018)","-0.6404533(2018)","-0.5802284(2018)","-0.5845156(2018)"
Most Recent Value,"(Most Recent Value)","Nigeria","NGA","-1.04489(2018)","-1.022591(2018)","-2.1927(2018)","-0.8825297(2018)","-0.8809231(2018)","-0.4079276(2018)"
Most Recent Value,"(Most Recent Value)","Niue","NIU","-0.4240158(2013)","-0.9940472(2013)","1.322361(2010)","-0.921079(2013)","-0.7874305(2013)","-0.4640228(2013)"
Most Recent Value,"(Most Recent Value)","North Macedonia","MKD","-0.3648161(2018)","0.0902431(2018)","-0.1966761(2018)","0.5249679(2018)","-0.2837728(2018)","-0.0092953(2018)"
Most Recent Value,"(Most Recent Value)","Norway","NOR","2.089907(2018)","1.887119(2018)","1.153804(2018)","1.75844(2018)","1.965631(2018)","1.732547(2018)"
Most Recent Value,"(Most Recent Value)","Oman","OMN","0.2460828(2018)","0.1865782(2018)","0.6545912(2018)","0.3100107(2018)","0.4648626(2018)","-1.026107(2018)"
Most Recent Value,"(Most Recent Value)","Pakistan","PAK","-0.7907338(2018)","-0.6338443(2018)","-2.267435(2018)","-0.6444417(2018)","-0.6730217(2018)","-0.8006933(2018)"
Most Recent Value,"(Most Recent Value)","Palau","PLW","-0.5539093(2018)","-0.0121242(2018)","0.8627383(2018)","-0.0116495(2018)","0.3065613(2018)","1.146016(2018)"
Most Recent Value,"(Most Recent Value)","Panama","PAN","-0.567027(2018)","-0.019452(2018)","0.2771547(2018)","0.4016129(2018)","-0.0592212(2018)","0.5805006(2018)"
Most Recent Value,"(Most Recent Value)","Papua New Guinea","PNG","-0.8760095(2018)","-0.6773402(2018)","-0.6669981(2018)","-0.5433646(2018)","-0.7658504(2018)","0.043219(2018)"
Most Recent Value,"(Most Recent Value)","Paraguay","PRY","-0.8474646(2018)","-0.5172144(2018)","-0.1192975(2018)","-0.1242119(2018)","-0.5411182(2018)","0.0537697(2018)"
Most Recent Value,"(Most Recent Value)","Peru","PER","-0.5401052(2018)","-0.2454309(2018)","-0.2593005(2018)","0.5182164(2018)","-0.5170875(2018)","0.2345341(2018)"
Most Recent Value,"(Most Recent Value)","Philippines","PHL","-0.5448154(2018)","0.0495094(2018)","-1.121844(2018)","0.0459113(2018)","-0.4776694(2018)","0.0379877(2018)"
Most Recent Value,"(Most Recent Value)","Poland","POL","0.6414219(2018)","0.6626508(2018)","0.5450124(2018)","0.8819272(2018)","0.4278919(2018)","0.7238377(2018)"
Most Recent Value,"(Most Recent Value)","Portugal","PRT","0.8498304(2018)","1.208909(2018)","1.140031(2018)","0.8900307(2018)","1.140912(2018)","1.204607(2018)"
Most Recent Value,"(Most Recent Value)","Puerto Rico","PRI","0.0401706(2018)","-0.156924(2018)","0.4000113(2018)","0.9279462(2018)","0.5868457(2018)","0.4919728(2018)"
Most Recent Value,"(Most Recent Value)","Qatar","QAT","0.7248945(2018)","0.6312364(2018)","0.6783724(2018)","0.5151712(2018)","0.7346737(2018)","-1.195095(2018)"
Most Recent Value,"(Most Recent Value)","Reunion","REU","0.6316952(2018)","1.108839(2018)","0.2692141(2018)","1.187921(2018)","1.120189(2018)","1.226089(2013)"
Most Recent Value,"(Most Recent Value)","Romania","ROU","-0.1216504(2018)","-0.2534418(2018)","0.0593082(2018)","0.4453986(2018)","0.3254628(2018)","0.4577805(2018)"
Most Recent Value,"(Most Recent Value)","Russian Federation","RUS","-0.8451133(2018)","-0.0608858(2018)","-0.5037209(2018)","-0.5404854(2018)","-0.8153201(2018)","-1.058007(2018)"
Most Recent Value,"(Most Recent Value)","Rwanda","RWA","0.5782577(2018)","0.2068089(2018)","0.1159507(2018)","0.0841578(2018)","0.1181115(2018)","-1.129916(2018)"
Most Recent Value,"(Most Recent Value)","Samoa","WSM","0.6423859(2018)","0.5907587(2018)","1.186755(2018)","-0.1145988(2018)","0.8239359(2018)","0.7639147(2018)"
Most Recent Value,"(Most Recent Value)","San Marino","SMR","","","0.8627383(2018)","","0.9354892(2013)","1.146016(2018)"
Most Recent Value,"(Most Recent Value)","Sao Tome and Principe","STP","0.1838712(2018)","-0.6393903(2018)","0.5335671(2018)","-0.8459124(2018)","-0.6863676(2018)","0.1583277(2018)"
Most Recent Value,"(Most Recent Value)","Saudi Arabia","SAU","0.3596962(2018)","0.3234982(2018)","-0.5181113(2018)","-0.0458949(2018)","0.1417293(2018)","-1.644232(2018)"
Most Recent Value,"(Most Recent Value)","Senegal","SEN","-0.0247014(2018)","-0.2678156(2018)","-0.0886327(2018)","-0.1076691(2018)","-0.2080795(2018)","0.2396943(2018)"
Most Recent Value,"(Most Recent Value)","Serbia","SRB","-0.3702148(2018)","0.1116198(2018)","0.0824774(2018)","0.0074444(2018)","-0.1464036(2018)","0.0018319(2018)"
Most Recent Value,"(Most Recent Value)","Seychelles","SYC","0.7026863(2018)","0.502284(2018)","0.6970197(2018)","-0.1489415(2018)","0.2000629(2018)","0.2116492(2018)"
Most Recent Value,"(Most Recent Value)","Sierra Leone","SLE","-0.4921698(2018)","-1.142948(2018)","-0.0298916(2018)","-0.9059859(2018)","-0.7695495(2018)","-0.1791686(2018)"
Most Recent Value,"(Most Recent Value)","Singapore","SGP","2.174524(2018)","2.231474(2018)","1.510339(2018)","2.131565(2018)","1.844891(2018)","-0.0591089(2018)"
Most Recent Value,"(Most Recent Value)","Slovak Republic","SVK","0.3629198(2018)","0.7074615(2018)","0.7504383(2018)","0.8107936(2018)","0.5290585(2018)","0.878241(2018)"
Most Recent Value,"(Most Recent Value)","Slovenia","SVN","0.8702175(2018)","1.125806(2018)","0.9109183(2018)","0.6948206(2018)","1.058505(2018)","0.9910611(2018)"
Most Recent Value,"(Most Recent Value)","Solomon Islands","SLB","-0.0049462(2018)","-1.054241(2018)","0.3004147(2018)","-0.8411345(2018)","-0.2278951(2018)","0.5343427(2018)"
Most Recent Value,"(Most Recent Value)","Somalia","SOM","-1.800085(2018)","-2.19103(2018)","-2.219771(2018)","-2.314809(2018)","-2.332786(2018)","-1.833135(2018)"
Most Recent Value,"(Most Recent Value)","South Africa","ZAF","-0.021569(2018)","0.3403786(2018)","-0.2766732(2018)","0.171912(2018)","-0.1024957(2018)","0.6573899(2018)"
Most Recent Value,"(Most Recent Value)","South Sudan","SSD","-1.727954(2018)","-2.449409(2018)","-2.439316(2018)","-2.064091(2018)","-1.958408(2018)","-1.977599(2018)"
Most Recent Value,"(Most Recent Value)","Spain","ESP","0.613507(2018)","1.002136(2018)","0.2548025(2018)","0.9452896(2018)","0.9689376(2018)","1.064253(2018)"
Most Recent Value,"(Most Recent Value)","Sri Lanka","LKA","-0.3355435(2018)","-0.2353793(2018)","-0.1831642(2018)","-0.1522742(2018)","0.0263234(2018)","0.0087836(2018)"
Most Recent Value,"(Most Recent Value)","St. Kitts and Nevis","KNA","0.4525903(2018)","0.5514148(2018)","0.7104676(2018)","0.5108522(2018)","0.5333768(2018)","0.8967314(2018)"
Most Recent Value,"(Most Recent Value)","St. Lucia","LCA","0.5362028(2018)","0.1956703(2018)","1.013306(2018)","0.2870998(2018)","0.5592496(2018)","0.8583953(2018)"
Most Recent Value,"(Most Recent Value)","St. Vincent and the Grenadines","VCT","0.7688255(2018)","0.1956703(2018)","0.8540489(2018)","0.2558284(2018)","0.4326417(2018)","0.8780061(2018)"
Most Recent Value,"(Most Recent Value)","Sudan","SDN","-1.426933(2018)","-1.619857(2018)","-1.835869(2018)","-1.630347(2018)","-1.119796(2018)","-1.841044(2018)"
Most Recent Value,"(Most Recent Value)","Suriname","SUR","-0.2114844(2018)","-0.6553037(2018)","0.0773252(2018)","-0.6315839(2018)","-0.0639684(2018)","0.3158507(2018)"
Most Recent Value,"(Most Recent Value)","Sweden","SWE","2.139578(2018)","1.830975(2018)","0.9136876(2018)","1.800021(2018)","1.895983(2018)","1.611055(2018)"
Most Recent Value,"(Most Recent Value)","Switzerland","CHE","2.00971(2018)","2.039621(2018)","1.344863(2018)","1.780406(2018)","1.931222(2018)","1.616422(2018)"
Most Recent Value,"(Most Recent Value)","Syrian Arab Republic","SYR","-1.626812(2018)","-1.671169(2018)","-2.739623(2018)","-1.795827(2018)","-2.047868(2018)","-1.958449(2018)"
Most Recent Value,"(Most Recent Value)","Taiwan, China","TWN","1.027658(2018)","1.362331(2018)","0.8534058(2018)","1.355507(2018)","1.112281(2018)","0.977472(2018)"
Most Recent Value,"(Most Recent Value)","Tajikistan","TJK","-1.415102(2018)","-1.097704(2018)","-0.7243188(2018)","-1.048576(2018)","-1.282616(2018)","-1.689398(2018)"
Most Recent Value,"(Most Recent Value)","Tanzania","TZA","-0.4479853(2018)","-0.7562658(2018)","-0.5591016(2018)","-0.6128686(2018)","-0.554994(2018)","-0.364481(2018)"
Most Recent Value,"(Most Recent Value)","Thailand","THA","-0.3988041(2018)","0.3499596(2018)","-0.733099(2018)","0.1116317(2018)","0.0232979(2018)","-1.005582(2018)"
Most Recent Value,"(Most Recent Value)","Timor-Leste","TLS","-0.4735851(2018)","-0.9826074(2018)","0.298182(2018)","-0.7858377(2018)","-1.127902(2018)","0.3397629(2018)"
Most Recent Value,"(Most Recent Value)","Togo","TGO","-0.7275374(2018)","-1.057791(2018)","-0.9817027(2018)","-0.6506074(2018)","-0.5908715(2018)","-0.7431359(2018)"
Most Recent Value,"(Most Recent Value)","Tonga","TON","-0.0708953(2018)","0.1393548(2018)","0.8794378(2018)","-0.3512902(2018)","0.3874137(2018)","0.5628479(2018)"
Most Recent Value,"(Most Recent Value)","Trinidad and Tobago","TTO","-0.317267(2018)","0.1902379(2018)","0.2480514(2018)","-0.0206371(2018)","-0.1205074(2018)","0.5656093(2018)"
Most Recent Value,"(Most Recent Value)","Tunisia","TUN","-0.0534863(2018)","-0.1052618(2018)","-0.9018921(2018)","-0.4110191(2018)","0.0393894(2018)","0.210815(2018)"
Most Recent Value,"(Most Recent Value)","Turkey","TUR","-0.3353838(2018)","0.0060968(2018)","-1.328783(2018)","-0.0474772(2018)","-0.3192984(2018)","-0.8329394(2018)"
Most Recent Value,"(Most Recent Value)","Turkmenistan","TKM","-1.357742(2018)","-1.044102(2018)","-0.0068957(2018)","-1.998719(2018)","-1.452363(2018)","-2.143717(2018)"
Most Recent Value,"(Most Recent Value)","Tuvalu","TUV","0.0285799(2018)","-0.6936518(2018)","1.425432(2018)","-0.5692701(2018)","0.5298821(2018)","1.146016(2018)"
Most Recent Value,"(Most Recent Value)","Uganda","UGA","-1.037357(2018)","-0.6060399(2018)","-0.6914156(2018)","-0.25123(2018)","-0.294705(2018)","-0.6666496(2018)"
Most Recent Value,"(Most Recent Value)","Ukraine","UKR","-0.8736908(2018)","-0.4152199(2018)","-1.826185(2018)","-0.2200751(2018)","-0.7177935(2018)","-0.0137297(2018)"
Most Recent Value,"(Most Recent Value)","United Arab Emirates","ARE","1.151608(2018)","1.431291(2018)","0.7432382(2018)","0.9316171(2018)","0.8064476(2018)","-1.109334(2018)"
Most Recent Value,"(Most Recent Value)","United Kingdom","GBR","1.826577(2018)","1.341884(2018)","0.0487175(2018)","1.761863(2018)","1.638637(2018)","1.383976(2018)"
Most Recent Value,"(Most Recent Value)","United States","USA","1.323218(2018)","1.576998(2018)","0.4774609(2018)","1.577987(2018)","1.453255(2018)","1.039329(2018)"
Most Recent Value,"(Most Recent Value)","Uruguay","URY","1.265534(2018)","0.5582148(2018)","1.046509(2018)","0.4992745(2018)","0.5991074(2018)","1.21235(2018)"
Most Recent Value,"(Most Recent Value)","Uzbekistan","UZB","-1.068714(2018)","-0.5470828(2018)","-0.283422(2018)","-1.102867(2018)","-1.073632(2018)","-1.615988(2018)"
Most Recent Value,"(Most Recent Value)","Vanuatu","VUT","-0.1629424(2018)","-0.4917117(2018)","0.8379562(2018)","-0.4740178(2018)","0.3358953(2018)","0.5367252(2018)"
Most Recent Value,"(Most Recent Value)","Venezuela, RB","VEN","-1.467512(2018)","-1.581517(2018)","-1.343512(2018)","-2.33437(2018)","-2.338622(2018)","-1.414395(2018)"
Most Recent Value,"(Most Recent Value)","Vietnam","VNM","-0.4853567(2018)","-0.0034448(2018)","0.2032657(2018)","-0.3858519(2018)","-0.0032823(2018)","-1.445501(2018)"
Most Recent Value,"(Most Recent Value)","Virgin Islands (U.S.)","VIR","0.6316952(2018)","0.8301269(2018)","0.9858225(2018)","0.8194681(2018)","1.120189(2018)","0.7834459(2013)"
Most Recent Value,"(Most Recent Value)","West Bank and Gaza","PSE","-0.1954203(2018)","-0.7608902(2018)","-1.735649(2018)","0.0524449(2018)","-0.4837196(2018)","-0.9017643(2018)"
Most Recent Value,"(Most Recent Value)","Yemen, Rep.","YEM","-1.637971(2018)","-2.244354(2018)","-3.002496(2018)","-1.536205(2018)","-1.790394(2018)","-1.750749(2018)"
Most Recent Value,"(Most Recent Value)","Zambia","ZMB","-0.6561365(2018)","-0.5592093(2018)","0.1419944(2018)","-0.4426115(2018)","-0.3449385(2018)","-0.3204631(2018)"
Most Recent Value,"(Most Recent Value)","Zimbabwe","ZWE","-1.235616(2018)","-1.19886(2018)","-0.7070538(2018)","-1.583895(2018)","-1.27363(2018)","-1.134756(2018)"
,"","","","","","","","",""
,"","","","","","","","",""
,"","","","","","","","",""
Data from database: Worldwide Governance Indicators,"","","","","","","","",""
Last Updated: 11/07/2019,"","","","","","","","",""
